,Course_ID,Year,Course_Duration,Course_Ress_Digit,Course_Ress_inClass,Resources_Amount,Resources_Rank,Resources_Type_Basic
0,1,2013,8,1,2,3,1,Lecture
1,1,2013,8,1,2,3,2,Exercise
2,1,2013,8,1,2,3,3,QCM
3,2,2013,35,4,18,22,1,Lecture
4,2,2013,35,4,18,22,2,Lecture
5,2,2013,35,4,18,22,3,Lecture
6,2,2013,35,4,18,22,4,Lecture
7,2,2013,35,4,18,22,5,QCM
8,2,2013,35,4,18,22,6,Lecture
9,2,2013,35,4,18,22,7,Lecture
10,2,2013,35,4,18,22,8,Lecture
11,2,2013,35,4,18,22,9,Video
12,2,2013,35,4,18,22,10,Exercise
13,2,2013,35,4,18,22,11,Test
14,2,2013,35,4,18,22,12,Exercise
15,2,2013,35,4,18,22,13,Exercise
16,2,2013,35,4,18,22,14,Exercise
17,2,2013,35,4,18,22,15,Lecture
18,2,2013,35,4,18,22,16,Lecture
19,2,2013,35,4,18,22,17,Lecture
20,2,2013,35,4,18,22,18,Exercise
21,2,2013,35,4,18,22,19,QCM
22,2,2013,35,4,18,22,20,Lecture
23,2,2013,35,4,18,22,21,Lecture
24,2,2013,35,4,18,22,22,Examen
25,3,2013,7,1,1,2,1,Exercise
26,3,2013,7,1,1,2,2,QCM
27,4,2013,30,1,18,19,1,Lecture
28,4,2013,30,1,18,19,2,Lecture
29,4,2013,30,1,18,19,3,Exercise
30,4,2013,30,1,18,19,4,Exercise
31,4,2013,30,1,18,19,5,Video
32,4,2013,30,1,18,19,6,Lecture
33,4,2013,30,1,18,19,7,Exercise
34,4,2013,30,1,18,19,8,Lecture
35,4,2013,30,1,18,19,9,Lecture
36,4,2013,30,1,18,19,10,Lecture
37,4,2013,30,1,18,19,11,Lecture
38,4,2013,30,1,18,19,12,Lecture
39,4,2013,30,1,18,19,13,Lecture
40,4,2013,30,1,18,19,14,Lecture
41,4,2013,30,1,18,19,15,Exercise
42,4,2013,30,1,18,19,16,Lecture
43,4,2013,30,1,18,19,17,Lecture
44,4,2013,30,1,18,19,18,Exercise
45,4,2013,30,1,18,19,19,Examen
46,5,2013,32,3,10,13,1,QCM
47,5,2013,32,3,10,13,2,Exercise
48,5,2013,32,3,10,13,3,Exercise
49,5,2013,32,3,10,13,4,QCM
50,5,2013,32,3,10,13,5,Lecture
51,5,2013,32,3,10,13,6,Lecture
52,5,2013,32,3,10,13,7,Lecture
53,5,2013,32,3,10,13,8,Lecture
54,5,2013,32,3,10,13,9,Exercise
55,5,2013,32,3,10,13,10,Video
56,5,2013,32,3,10,13,11,Lecture
57,5,2013,32,3,10,13,12,Lecture
58,5,2013,32,3,10,13,13,Examen
59,6,2013,18,2,10,12,1,Lecture
60,6,2013,18,2,10,12,2,Lecture
61,6,2013,18,2,10,12,3,Lecture
62,6,2013,18,2,10,12,4,Lecture
63,6,2013,18,2,10,12,5,Lecture
64,6,2013,18,2,10,12,6,Lecture
65,6,2013,18,2,10,12,7,Exercise
66,6,2013,18,2,10,12,8,Video
67,6,2013,18,2,10,12,9,Exercise
68,6,2013,18,2,10,12,10,Video
69,6,2013,18,2,10,12,11,Lecture
70,6,2013,18,2,10,12,12,Exercise
71,7,2013,36,19,6,25,1,QCM
72,7,2013,36,19,6,25,2,Exercise
73,7,2013,36,19,6,25,3,Video
74,7,2013,36,19,6,25,4,QCM
75,7,2013,36,19,6,25,5,Video
76,7,2013,36,19,6,25,6,Lecture
77,7,2013,36,19,6,25,7,Video
78,7,2013,36,19,6,25,8,Video
79,7,2013,36,19,6,25,9,QCM
80,7,2013,36,19,6,25,10,Video
81,7,2013,36,19,6,25,11,QCM
82,7,2013,36,19,6,25,12,Video
83,7,2013,36,19,6,25,13,Test
84,7,2013,36,19,6,25,14,QCM
85,7,2013,36,19,6,25,15,Lecture
86,7,2013,36,19,6,25,16,QCM
87,7,2013,36,19,6,25,17,QCM
88,7,2013,36,19,6,25,18,Video
89,7,2013,36,19,6,25,19,Exercise
90,7,2013,36,19,6,25,20,Lecture
91,7,2013,36,19,6,25,21,QCM
92,7,2013,36,19,6,25,22,QCM
93,7,2013,36,19,6,25,23,QCM
94,7,2013,36,19,6,25,24,Video
95,7,2013,36,19,6,25,25,Examen
96,8,2013,30,3,18,21,1,Lecture
97,8,2013,30,3,18,21,2,Exercise
98,8,2013,30,3,18,21,3,Lecture
99,8,2013,30,3,18,21,4,Lecture
100,8,2013,30,3,18,21,5,Lecture
101,8,2013,30,3,18,21,6,QCM
102,8,2013,30,3,18,21,7,Video
103,8,2013,30,3,18,21,8,Exercise
104,8,2013,30,3,18,21,9,Exercise
105,8,2013,30,3,18,21,10,Lecture
106,8,2013,30,3,18,21,11,Lecture
107,8,2013,30,3,18,21,12,Lecture
108,8,2013,30,3,18,21,13,Exercise
109,8,2013,30,3,18,21,14,Lecture
110,8,2013,30,3,18,21,15,Lecture
111,8,2013,30,3,18,21,16,Lecture
112,8,2013,30,3,18,21,17,Lecture
113,8,2013,30,3,18,21,18,QCM
114,8,2013,30,3,18,21,19,Exercise
115,8,2013,30,3,18,21,20,Exercise
116,8,2013,30,3,18,21,21,Lecture
117,9,2013,28,3,16,19,1,Lecture
118,9,2013,28,3,16,19,2,Exercise
119,9,2013,28,3,16,19,3,Lecture
120,9,2013,28,3,16,19,4,Lecture
121,9,2013,28,3,16,19,5,QCM
122,9,2013,28,3,16,19,6,Lecture
123,9,2013,28,3,16,19,7,Lecture
124,9,2013,28,3,16,19,8,Exercise
125,9,2013,28,3,16,19,9,Exercise
126,9,2013,28,3,16,19,10,Lecture
127,9,2013,28,3,16,19,11,Lecture
128,9,2013,28,3,16,19,12,Lecture
129,9,2013,28,3,16,19,13,Lecture
130,9,2013,28,3,16,19,14,Lecture
131,9,2013,28,3,16,19,15,Exercise
132,9,2013,28,3,16,19,16,Video
133,9,2013,28,3,16,19,17,Lecture
134,9,2013,28,3,16,19,18,Video
135,9,2013,28,3,16,19,19,Examen
136,10,2013,30,3,21,24,1,Lecture
137,10,2013,30,3,21,24,2,Lecture
138,10,2013,30,3,21,24,3,Exercise
139,10,2013,30,3,21,24,4,Lecture
140,10,2013,30,3,21,24,5,Video
141,10,2013,30,3,21,24,6,Exercise
142,10,2013,30,3,21,24,7,Lecture
143,10,2013,30,3,21,24,8,Lecture
144,10,2013,30,3,21,24,9,Lecture
145,10,2013,30,3,21,24,10,Exercise
146,10,2013,30,3,21,24,11,Lecture
147,10,2013,30,3,21,24,12,Lecture
148,10,2013,30,3,21,24,13,Test
149,10,2013,30,3,21,24,14,Lecture
150,10,2013,30,3,21,24,15,Lecture
151,10,2013,30,3,21,24,16,Lecture
152,10,2013,30,3,21,24,17,Exercise
153,10,2013,30,3,21,24,18,Exercise
154,10,2013,30,3,21,24,19,Lecture
155,10,2013,30,3,21,24,20,Lecture
156,10,2013,30,3,21,24,21,Exercise
157,10,2013,30,3,21,24,22,Lecture
158,10,2013,30,3,21,24,23,QCM
159,10,2013,30,3,21,24,24,Examen
160,11,2013,38,2,19,21,1,Exercise
161,11,2013,38,2,19,21,2,Lecture
162,11,2013,38,2,19,21,3,Lecture
163,11,2013,38,2,19,21,4,Lecture
164,11,2013,38,2,19,21,5,Video
165,11,2013,38,2,19,21,6,Exercise
166,11,2013,38,2,19,21,7,Lecture
167,11,2013,38,2,19,21,8,Lecture
168,11,2013,38,2,19,21,9,Exercise
169,11,2013,38,2,19,21,10,Video
170,11,2013,38,2,19,21,11,Lecture
171,11,2013,38,2,19,21,12,Lecture
172,11,2013,38,2,19,21,13,Lecture
173,11,2013,38,2,19,21,14,Lecture
174,11,2013,38,2,19,21,15,Lecture
175,11,2013,38,2,19,21,16,Lecture
176,11,2013,38,2,19,21,17,Exercise
177,11,2013,38,2,19,21,18,Lecture
178,11,2013,38,2,19,21,19,Exercise
179,11,2013,38,2,19,21,20,Exercise
180,11,2013,38,2,19,21,21,Examen
181,12,2013,37,2,16,18,1,Lecture
182,12,2013,37,2,16,18,2,Exercise
183,12,2013,37,2,16,18,3,Lecture
184,12,2013,37,2,16,18,4,Exercise
185,12,2013,37,2,16,18,5,QCM
186,12,2013,37,2,16,18,6,Exercise
187,12,2013,37,2,16,18,7,Video
188,12,2013,37,2,16,18,8,Lecture
