,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
0,2013,1,8,3,1,2,0,1,0,1,1,0
1016,2014,1,8,3,1,2,0,1,0,1,1,0
2032,2015,1,8,3,1,2,0,1,0,1,1,0
3048,2016,1,8,3,1,2,0,1,0,1,1,0
4064,2017,1,8,3,2,1,0,2,0,1,0,0
5080,2018,1,8,3,2,1,0,2,0,1,0,0
6096,2019,1,8,3,2,1,0,2,0,1,0,0
7112,2020,1,8,3,2,1,0,2,0,1,0,0
1,2013,2,35,22,4,18,1,2,1,12,5,1
1017,2014,2,35,22,5,17,2,2,1,11,5,1
2033,2015,2,35,22,5,17,2,2,1,11,5,1
3049,2016,2,35,22,6,16,3,2,1,10,5,1
4065,2017,2,35,22,7,15,4,2,1,9,5,1
5081,2018,2,35,22,8,14,4,3,1,9,4,1
6097,2019,2,35,22,10,12,6,3,1,7,4,1
7113,2020,2,35,22,10,12,6,3,1,7,4,1
2,2013,3,7,2,1,1,0,1,0,0,1,0
1018,2014,3,7,2,1,1,0,1,0,0,1,0
2034,2015,3,7,2,1,1,0,1,0,0,1,0
3050,2016,3,7,2,1,1,0,1,0,0,1,0
4066,2017,3,7,2,1,1,0,1,0,0,1,0
5082,2018,3,7,2,1,1,0,1,0,0,1,0
6098,2019,3,7,2,1,1,0,1,0,0,1,0
7114,2020,3,7,2,1,1,0,1,0,0,1,0
3,2013,4,30,19,1,18,1,0,0,12,5,1
1019,2014,4,30,19,2,17,2,0,0,11,5,1
2035,2015,4,30,19,2,17,2,0,0,11,5,1
3051,2016,4,30,19,2,17,2,0,0,11,5,1
4067,2017,4,30,19,2,17,2,0,0,11,5,1
5083,2018,4,30,19,2,17,2,0,0,11,5,1
6099,2019,4,30,19,3,16,2,1,0,11,4,1
7115,2020,4,30,19,3,16,2,1,0,11,4,1
4,2013,5,32,13,3,10,1,2,0,6,3,1
1020,2014,5,32,13,3,10,1,2,0,6,3,1
2036,2015,5,32,13,3,10,1,2,0,6,3,1
3052,2016,5,32,13,4,9,2,2,0,5,3,1
4068,2017,5,32,13,4,9,2,2,0,5,3,1
5084,2018,5,32,13,4,9,2,2,0,5,3,1
6100,2019,5,32,13,4,9,2,2,0,5,3,1
7116,2020,5,32,13,6,7,4,2,0,3,3,1
5,2013,6,18,12,2,10,2,0,0,7,3,0
1021,2014,6,18,12,2,10,2,0,0,7,3,0
2037,2015,6,18,12,3,9,3,0,0,6,3,0
3053,2016,6,18,12,3,9,3,0,0,6,3,0
4069,2017,6,18,12,4,8,3,1,0,6,2,0
5085,2018,6,18,12,5,7,3,2,0,6,1,0
6101,2019,6,18,12,5,7,3,2,0,6,1,0
7117,2020,6,18,12,6,6,3,3,0,6,0,0
6,2013,7,36,25,19,6,8,10,1,3,2,1
1022,2014,7,36,25,23,2,11,11,1,0,1,1
2038,2015,7,36,25,25,0,11,12,2,0,0,0
3054,2016,7,36,25,25,0,11,12,2,0,0,0
4070,2017,7,36,25,25,0,11,12,2,0,0,0
5086,2018,7,36,25,25,0,11,12,2,0,0,0
6102,2019,7,36,25,25,0,11,12,2,0,0,0
7118,2020,7,36,25,25,0,11,12,2,0,0,0
7,2013,8,30,21,3,18,1,2,0,12,6,0
1023,2014,8,30,21,4,17,2,2,0,11,6,0
2039,2015,8,30,21,4,17,2,2,0,11,6,0
3055,2016,8,30,21,5,16,3,2,0,10,6,0
4071,2017,8,30,21,6,15,3,3,0,10,5,0
5087,2018,8,30,21,6,15,3,3,0,10,5,0
