,Year,Departement,Module_ID,Module,Chapter_ID,Chapter,Quiz_perChapter,Quizz_ID,Rank_onChapter,Quizz_Type,Slip,Guess,Success_Prct,Success_Attempts,Failure_Attempts,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Predict_Difficulty,Correct_Difficulty,Score,Difficulty_String,Difficulty,Department
0,2015,Droit,1,Histoire du Droit,1,La Grèce,9,1,1,QCU,0.22,0.51,53.77,8,6,14,10,8,2,1.4,80.0,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
1124,2016,Droit,1,Histoire du Droit,1,La Grèce,9,1,1,QCU,0.08,0.99,99.63,12,0,12,12,12,0,1.0,100.0,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
2248,2017,Droit,1,Histoire du Droit,1,La Grèce,9,1,1,QCU,0.47,0.27,9.03,1,9,10,4,1,3,2.5,25.0,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
3372,2018,Droit,1,Histoire du Droit,1,La Grèce,9,1,1,QCU,0.58,0.22,25.82,2,6,8,3,2,1,2.67,66.67,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
4496,2019,Droit,1,Histoire du Droit,1,La Grèce,9,1,1,QCU,0.53,0.3,8.29,1,8,9,8,1,7,1.12,12.5,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
5620,2020,Droit,1,Histoire du Droit,1,La Grèce,9,1,1,QCU,0.64,0.31,26.08,2,7,9,3,2,1,3.0,66.67,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
1,2015,Droit,1,Histoire du Droit,1,La Grèce,9,2,2,QCU,0.68,0.27,18.34,4,19,23,13,4,9,1.77,30.77,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
1125,2016,Droit,1,Histoire du Droit,1,La Grèce,9,2,2,QCU,0.35,0.62,58.53,13,9,22,18,13,5,1.22,72.22,Difficile,Moyen,1,Plus Facile,Pas Adapte,Law
2249,2017,Droit,1,Histoire du Droit,1,La Grèce,9,2,2,QCU,0.72,0.24,34.66,8,16,24,23,8,15,1.04,34.78,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
3373,2018,Droit,1,Histoire du Droit,1,La Grèce,9,2,2,QCU,0.69,0.37,31.41,8,17,25,17,8,9,1.47,47.06,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
4497,2019,Droit,1,Histoire du Droit,1,La Grèce,9,2,2,QCU,0.73,0.3,21.23,6,22,28,16,6,10,1.75,37.5,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
5621,2020,Droit,1,Histoire du Droit,1,La Grèce,9,2,2,QCU,0.14,0.82,70.85,19,8,27,23,19,4,1.17,82.61,Facile,Facile,0,Meme Difficulté,Adapte,Law
