Course_ID,Duration,Duration_Digit,Duration_Present,Year,Total_Courses_perYear,Digit_Ratio,Digit_Percentage,Digitalization,Type
1,77,65,12,2013,1045,0.84,84,High Digitalization,High Course ( >40H )
2,61,20,41,2013,1045,0.33,33,Medium-Low Digitalization,High Course ( >40H )
3,33,18,15,2013,1045,0.56,56,Medium-High Digitalization,Medium Course ( >15H and <40H )
4,39,29,10,2013,1045,0.74,74,Medium-High Digitalization,Medium Course ( >15H and <40H )
5,15,0,15,2013,1045,0.01,1,Low Digitalization,Small Course ( <15H )
6,52,44,8,2013,1045,0.85,85,High Digitalization,High Course ( >40H )
7,5,3,2,2013,1045,0.51,51,Medium-High Digitalization,Small Course ( <15H )
8,9,0,9,2013,1045,0.05,5,Low Digitalization,Small Course ( <15H )
9,31,13,18,2013,1045,0.42,42,Medium-Low Digitalization,Medium Course ( >15H and <40H )
10,17,1,16,2013,1045,0.04,4,Low Digitalization,Medium Course ( >15H and <40H )
11,54,14,40,2013,1045,0.26,26,Medium-Low Digitalization,High Course ( >40H )
12,11,5,6,2013,1045,0.44,44,Medium-Low Digitalization,Small Course ( <15H )
13,66,3,63,2013,1045,0.04,4,Low Digitalization,High Course ( >40H )
14,11,8,3,2013,1045,0.71,71,Medium-High Digitalization,Small Course ( <15H )
15,35,22,13,2013,1045,0.64,64,Medium-High Digitalization,Medium Course ( >15H and <40H )
16,6,2,4,2013,1045,0.39,39,Medium-Low Digitalization,Small Course ( <15H )
17,43,37,6,2013,1045,0.85,85,High Digitalization,High Course ( >40H )
18,14,13,1,2013,1045,0.95,95,High Digitalization,Small Course ( <15H )
19,60,18,42,2013,1045,0.3,30,Medium-Low Digitalization,High Course ( >40H )
20,8,0,8,2013,1045,0.04,4,Low Digitalization,Small Course ( <15H )
21,64,33,31,2013,1045,0.51,51,Medium-High Digitalization,High Course ( >40H )
22,24,14,10,2013,1045,0.58,57,Medium-High Digitalization,Medium Course ( >15H and <40H )
23,15,4,11,2013,1045,0.28,28,Medium-Low Digitalization,Small Course ( <15H )
