,Chapter,Year,Success_Prct
0,"Calcul de Dimensions et Construction de Bases, utilisant de la Dualite",2015,21
1,"Calcul de Dimensions et Construction de Bases, utilisant de la Dualite",2016,36
2,"Calcul de Dimensions et Construction de Bases, utilisant de la Dualite",2017,36
3,"Calcul de Dimensions et Construction de Bases, utilisant de la Dualite",2018,30
4,"Calcul de Dimensions et Construction de Bases, utilisant de la Dualite",2019,63
5,"Calcul de Dimensions et Construction de Bases, utilisant de la Dualite",2020,65
6,Classe Cn par Morceaux,2015,35
7,Classe Cn par Morceaux,2016,31
8,Classe Cn par Morceaux,2017,28
9,Classe Cn par Morceaux,2018,33
10,Classe Cn par Morceaux,2019,34
11,Classe Cn par Morceaux,2020,42
12,Complement sur les Endomorphismes Autoadjoints d'un Espace Euclidien et les Matrices Symetriques,2015,65
13,Complement sur les Endomorphismes Autoadjoints d'un Espace Euclidien et les Matrices Symetriques,2016,65
14,Complement sur les Endomorphismes Autoadjoints d'un Espace Euclidien et les Matrices Symetriques,2017,65
15,Complement sur les Endomorphismes Autoadjoints d'un Espace Euclidien et les Matrices Symetriques,2018,65
16,Complement sur les Endomorphismes Autoadjoints d'un Espace Euclidien et les Matrices Symetriques,2019,65
17,Complement sur les Endomorphismes Autoadjoints d'un Espace Euclidien et les Matrices Symetriques,2020,65
18,Derivee Globale,2015,22
19,Derivee Globale,2016,29
20,Derivee Globale,2017,45
21,Derivee Globale,2018,40
22,Derivee Globale,2019,52
23,Derivee Globale,2020,56
24,Derivee en un Point,2015,26
25,Derivee en un Point,2016,45
26,Derivee en un Point,2017,39
27,Derivee en un Point,2018,32
28,Derivee en un Point,2019,31
29,Derivee en un Point,2020,32
30,Derivees d'Ordres Superieurs,2015,53
31,Derivees d'Ordres Superieurs,2016,6
32,Derivees d'Ordres Superieurs,2017,36
33,Derivees d'Ordres Superieurs,2018,47
34,Derivees d'Ordres Superieurs,2019,7
35,Derivees d'Ordres Superieurs,2020,52
36,Determination et Construction d'Applications Lineaires,2015,33
37,Determination et Construction d'Applications Lineaires,2016,32
38,Determination et Construction d'Applications Lineaires,2017,26
39,Determination et Construction d'Applications Lineaires,2018,36
40,Determination et Construction d'Applications Lineaires,2019,47
41,Determination et Construction d'Applications Lineaires,2020,51
42,Espaces Euclidiens,2015,30
43,Espaces Euclidiens,2016,49
44,Espaces Euclidiens,2017,43
45,Espaces Euclidiens,2018,49
46,Espaces Euclidiens,2019,56
