,Module,Year,Success_Prct
0,Construction Morphologique,2015,52
1,Construction Morphologique,2016,53
2,Construction Morphologique,2017,48
3,Construction Morphologique,2018,59
4,Construction Morphologique,2019,57
5,Construction Morphologique,2020,49
6,Grammaire Lexicale Fonctionnelle,2015,44
7,Grammaire Lexicale Fonctionnelle,2016,49
8,Grammaire Lexicale Fonctionnelle,2017,59
9,Grammaire Lexicale Fonctionnelle,2018,56
10,Grammaire Lexicale Fonctionnelle,2019,64
11,Grammaire Lexicale Fonctionnelle,2020,59
12,Grammaire et Syntaxe,2015,54
13,Grammaire et Syntaxe,2016,56
14,Grammaire et Syntaxe,2017,63
15,Grammaire et Syntaxe,2018,57
16,Grammaire et Syntaxe,2019,58
17,Grammaire et Syntaxe,2020,62
18,Introduction a l'Etude du Langage,2015,51
19,Introduction a l'Etude du Langage,2016,53
20,Introduction a l'Etude du Langage,2017,55
21,Introduction a l'Etude du Langage,2018,58
22,Introduction a l'Etude du Langage,2019,58
23,Introduction a l'Etude du Langage,2020,62
24,Neologie,2015,47
25,Neologie,2016,44
26,Neologie,2017,44
27,Neologie,2018,54
28,Neologie,2019,55
29,Neologie,2020,53
