,Year,Departement,Module_ID,Module,Chapter_ID,Chapter,Quiz_perChapter,Quizz_ID,Rank_onChapter,Quizz_Type,Slip,Guess,Success_Prct,Success_Attempts,Failure_Attempts,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Predict_Difficulty,Correct_Difficulty,Score,Difficulty_String,Difficulty
0,2015,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCU,0.13,0.89,74.22,71,24,95,73,71,2,1.3,97.26,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
1066,2016,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCU,0.18,0.99,74.22,71,25,96,79,71,8,1.22,89.87,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2132,2017,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCM,0.08,0.85,74.22,82,28,110,93,82,11,1.18,88.17,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3198,2018,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCM,0.19,0.77,74.22,91,31,122,112,91,21,1.09,81.25,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4264,2019,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCM,0.04,0.71,74.22,88,31,119,111,88,23,1.07,79.28,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5330,2020,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCM,0.07,0.8,74.22,95,33,128,113,95,18,1.13,84.07,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
1,2015,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QCU,0.01,0.97,69.11,25,11,36,26,25,1,1.38,96.15,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
1067,2016,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QCU,0.18,0.85,69.11,28,13,41,38,28,10,1.08,73.68,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2133,2017,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QCU,0.03,0.83,69.11,28,13,41,29,28,1,1.41,96.55,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3199,2018,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QCM,0.12,0.76,69.11,32,15,47,46,32,14,1.02,69.57,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4265,2019,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QCM,0.09,0.92,69.11,30,13,43,42,30,12,1.02,71.43,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5331,2020,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QCU,0.12,0.89,69.11,28,12,40,40,28,12,1.0,70.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2,2015,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.47,0.24,18.62,14,63,77,49,14,35,1.57,28.57,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1068,2016,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.65,0.38,32.98,27,55,82,40,27,13,2.05,67.5,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
2134,2017,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.03,0.9,80.18,63,15,78,76,63,13,1.03,82.89,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
3200,2018,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.15,0.9,70.34,60,25,85,66,60,6,1.29,90.91,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4266,2019,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.05,0.87,70.34,68,29,97,77,68,9,1.26,88.31,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5332,2020,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.17,0.88,70.34,58,25,83,59,58,1,1.41,98.31,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3,2015,Droit,1,Histoire du Droit,2,L'Italie,13,4,1,QROC,0.99,0.14,14.71,8,45,53,24,8,16,2.21,33.33,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
1069,2016,Droit,1,Histoire du Droit,2,L'Italie,13,4,1,QROC,0.0,0.42,79.51,47,12,59,56,47,9,1.05,83.93,Moyen,Facile,1,Plus Facile que la Prediction,Pas Adapte
2135,2017,Droit,1,Histoire du Droit,2,L'Italie,13,4,1,QO,0.86,0.13,17.37,10,47,57,46,10,36,1.24,21.74,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
