,Quizz_ID,Year,Departement,Chapter_ID,Rank_onChapter,Quizz_Type,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Success_Attempts,Failure_Attempts,TruePrct_Succes,Predict_Difficulty,Correct_Difficulty,Prediction/Correct Difficulty
0,1,2015,Ingenieurie,1,1,QCU,61,56,45,11,1.09,80.36,45,16,74.59,Trop Difficile,Adapte,Trop Difficile / Adapte
830,1,2016,Ingenieurie,1,1,QCU,65,51,44,7,1.27,86.27,44,21,67.86,Adapte,Adapte,Adapte / Adapte
1660,1,2017,Ingenieurie,1,1,QCU,56,55,38,17,1.02,69.09,38,18,67.2,Adapte,Adapte,Adapte / Adapte
2490,1,2018,Ingenieurie,1,1,QCU,55,39,38,1,1.41,97.44,38,17,68.28,Adapte,Adapte,Adapte / Adapte
3320,1,2019,Ingenieurie,1,1,QCU,60,43,41,2,1.4,95.35,41,19,68.29,Adapte,Adapte,Adapte / Adapte
4150,1,2020,Ingenieurie,1,1,QCU,72,57,45,12,1.26,78.95,45,27,63.08,Adapte,Adapte,Adapte / Adapte
1,2,2015,Ingenieurie,1,2,QO,17,16,14,2,1.06,87.5,14,3,84.17,Facile,Facile,Facile / Facile
831,2,2016,Ingenieurie,1,2,QO,19,13,4,9,1.46,30.77,4,15,21.11,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1661,2,2017,Ingenieurie,1,2,QO,19,11,4,7,1.73,36.36,4,15,18.52,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
2491,2,2018,Ingenieurie,1,2,QO,21,12,1,11,1.75,8.33,1,20,3.02,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
3321,2,2019,Ingenieurie,1,2,QO,24,13,2,11,1.85,15.38,2,22,7.96,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
4151,2,2020,Ingenieurie,1,2,QO,21,18,0,18,1.17,0.0,0,21,1.68,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
2,3,2015,Ingenieurie,1,3,QCM,22,20,2,18,1.1,10.0,2,20,11.11,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
832,3,2016,Ingenieurie,1,3,QCM,23,12,7,5,1.92,58.33,7,16,31.44,Difficile,Difficile,Difficile / Difficile
1662,3,2017,Ingenieurie,1,3,QCM,28,22,18,4,1.27,81.82,18,10,63.62,Difficile,Adapte,Difficile / Adapte
2492,3,2018,Ingenieurie,1,3,QCM,29,20,18,2,1.45,90.0,18,11,62.97,Adapte,Adapte,Adapte / Adapte
3322,3,2019,Ingenieurie,1,3,QCM,28,21,18,3,1.33,85.71,18,10,63.24,Adapte,Adapte,Adapte / Adapte
4152,3,2020,Ingenieurie,1,3,QCM,22,14,13,1,1.57,92.86,13,9,61.17,Adapte,Adapte,Adapte / Adapte
3,4,2015,Ingenieurie,1,4,QCU,48,46,45,1,1.04,97.83,45,3,93.58,Trop Facile,Trop Facile,Trop Facile / Trop Facile
833,4,2016,Ingenieurie,1,4,QCU,47,22,19,3,2.14,86.36,19,28,41.37,Difficile,Difficile,Difficile / Difficile
1663,4,2017,Ingenieurie,1,4,QCU,39,38,21,17,1.03,55.26,21,18,54.82,Difficile,Difficile,Difficile / Difficile
2493,4,2018,Ingenieurie,1,4,QCU,44,43,16,27,1.02,37.21,16,28,36.27,Difficile,Difficile,Difficile / Difficile
3323,4,2019,Ingenieurie,1,4,QCU,41,27,24,3,1.52,88.89,24,17,57.81,Difficile,Difficile,Difficile / Difficile
4153,4,2020,Ingenieurie,1,4,QCU,40,33,12,21,1.21,36.36,12,28,29.66,Difficile,Difficile,Difficile / Difficile
4,5,2015,Ingenieurie,1,5,QCM,56,53,50,3,1.06,94.34,50,6,90.1,Trop Facile,Trop Facile,Trop Facile / Trop Facile
834,5,2016,Ingenieurie,1,5,QCM,67,39,16,23,1.72,41.03,16,51,23.38,Difficile,Trop Difficile,Difficile / Trop Difficile
1664,5,2017,Ingenieurie,1,5,QCM,62,25,16,9,2.48,64.0,16,46,25.78,Difficile,Difficile,Difficile / Difficile
2494,5,2018,Ingenieurie,1,5,QCM,52,31,19,12,1.68,61.29,19,33,36.05,Difficile,Difficile,Difficile / Difficile
