,Quizz_ID,Year,Departement,Chapter_ID,Rank_onChapter,Quizz_Type,B,Slip,Guess,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Success_Attempts,Failure_Attempts,TruePrct_Succes,Predict_Difficulty,Correct_Difficulty,Prediction/Correct Difficulty
0,1,2015,Ingenieurie,1,1,QCU,0.7459,0.22,0.51,61,58,45,13,1.05,77.59,45,16,74.59,Trop Difficile,Adapte,Trop Difficile / Adapte
830,1,2016,Ingenieurie,1,1,QCU,0.6831,0.16,0.61,69,69,47,22,1.0,68.12,47,22,68.31,Adapte,Adapte,Adapte / Adapte
1660,1,2017,Ingenieurie,1,1,QCU,0.7167,0.13,0.53,67,53,48,5,1.26,90.57,48,19,71.67,Adapte,Adapte,Adapte / Adapte
2490,1,2018,Ingenieurie,1,1,QCU,0.7055,0.19,0.42,60,55,42,13,1.09,76.36,42,18,70.55,Adapte,Adapte,Adapte / Adapte
3320,1,2019,Ingenieurie,1,1,QCU,0.6466,0.14,0.63,51,44,33,11,1.16,75.0,33,18,64.66,Adapte,Adapte,Adapte / Adapte
4150,1,2020,Ingenieurie,1,1,QCU,0.6096,0.08,0.48,49,48,30,18,1.02,62.5,30,19,60.96,Adapte,Adapte,Adapte / Adapte
1,2,2015,Ingenieurie,1,2,QCU,0.705,0.3,0.68,62,48,44,4,1.29,91.67,44,18,70.5,Adapte,Adapte,Adapte / Adapte
831,2,2016,Ingenieurie,1,2,QCU,0.6519,0.21,0.47,54,40,35,5,1.35,87.5,35,19,65.19,Adapte,Adapte,Adapte / Adapte
1661,2,2017,Ingenieurie,1,2,QCU,0.7241,0.19,0.57,43,37,31,6,1.16,83.78,31,12,72.41,Adapte,Adapte,Adapte / Adapte
2491,2,2018,Ingenieurie,1,2,QCU,0.7288,0.12,0.54,39,38,28,10,1.03,73.68,28,11,72.88,Adapte,Adapte,Adapte / Adapte
3321,2,2019,Ingenieurie,1,2,QCU,0.7144,0.29,0.68,33,31,24,7,1.06,77.42,24,9,71.44,Adapte,Adapte,Adapte / Adapte
4151,2,2020,Ingenieurie,1,2,QCU,0.7476,0.06,0.6,30,26,22,4,1.15,84.62,22,8,74.76,Adapte,Adapte,Adapte / Adapte
2,3,2015,Ingenieurie,1,3,QCU,0.4043,0.18,0.36,9,5,4,1,1.8,80.0,4,5,40.43,Difficile,Difficile,Difficile / Difficile
832,3,2016,Ingenieurie,1,3,QCU,0.9865,0.1,0.97,11,11,11,0,1.0,100.0,11,0,98.65,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1662,3,2017,Ingenieurie,1,3,QCU,0.8269,0.06,0.82,13,12,11,1,1.08,91.67,11,2,82.69,Trop Facile,Facile,Trop Facile / Facile
2492,3,2018,Ingenieurie,1,3,QCU,0.9241,0.07,0.99,12,12,11,1,1.0,91.67,11,1,92.41,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3322,3,2019,Ingenieurie,1,3,QCU,0.6737,0.29,0.4,11,10,7,3,1.1,70.0,7,4,67.37,Trop Facile,Adapte,Trop Facile / Adapte
4152,3,2020,Ingenieurie,1,3,QCU,0.6362,0.09,0.45,12,9,8,1,1.33,88.89,8,4,63.62,Adapte,Adapte,Adapte / Adapte
3,4,2015,Ingenieurie,1,4,QCU,0.7942,0.1,0.86,7,7,6,1,1.0,85.71,6,1,79.42,Facile,Facile,Facile / Facile
833,4,2016,Ingenieurie,1,4,QCU,0.9986,0.02,0.98,7,7,7,0,1.0,100.0,7,0,99.86,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1663,4,2017,Ingenieurie,1,4,QCU,0.5068,0.15,0.36,6,4,3,1,1.5,75.0,3,3,50.68,Trop Facile,Difficile,Trop Facile / Difficile
2493,4,2018,Ingenieurie,1,4,QCU,0.7952,0.16,0.87,5,4,4,0,1.25,100.0,4,1,79.52,Trop Facile,Facile,Trop Facile / Facile
3323,4,2019,Ingenieurie,1,4,QCU,0.8719,0.09,0.99,4,4,3,1,1.0,75.0,3,1,87.19,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4153,4,2020,Ingenieurie,1,4,QCU,0.6583,0.07,0.49,4,4,3,1,1.0,75.0,3,1,65.83,Trop Facile,Adapte,Trop Facile / Adapte
4,5,2015,Ingenieurie,1,5,QCM,0.1858,0.66,0.25,46,45,9,36,1.02,20.0,9,37,18.58,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
834,5,2016,Ingenieurie,1,5,QCM,0.0241,0.31,0.23,48,30,1,29,1.6,3.33,1,47,2.41,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
1664,5,2017,Ingenieurie,1,5,QCM,0.9043,0.01,0.99,46,45,42,3,1.02,93.33,42,4,90.43,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2494,5,2018,Ingenieurie,1,5,QCM,0.8673,0.09,0.82,51,49,44,5,1.04,89.8,44,7,86.73,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3324,5,2019,Ingenieurie,1,5,QCM,0.9647,0.05,0.84,52,50,50,0,1.04,100.0,50,2,96.47,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4154,5,2020,Ingenieurie,1,5,QCM,0.8827,0.1,0.86,44,41,39,2,1.07,95.12,39,5,88.27,Trop Facile,Trop Facile,Trop Facile / Trop Facile
5,6,2015,Ingenieurie,1,6,QCU,0.747,0.07,0.47,93,86,69,17,1.08,80.23,69,24,74.7,Facile,Adapte,Facile / Adapte
835,6,2016,Ingenieurie,1,6,QCU,0.7019,0.24,0.64,105,96,74,22,1.09,77.08,74,31,70.19,Adapte,Adapte,Adapte / Adapte
1665,6,2017,Ingenieurie,1,6,QCU,0.7221,0.07,0.69,118,111,85,26,1.06,76.58,85,33,72.21,Adapte,Adapte,Adapte / Adapte
2495,6,2018,Ingenieurie,1,6,QCU,0.6275,0.03,0.56,101,67,63,4,1.51,94.03,63,38,62.75,Adapte,Adapte,Adapte / Adapte
3325,6,2019,Ingenieurie,1,6,QCU,0.622,0.22,0.46,97,75,60,15,1.29,80.0,60,37,62.2,Adapte,Adapte,Adapte / Adapte
4155,6,2020,Ingenieurie,1,6,QCU,0.6548,0.28,0.41,105,71,69,2,1.48,97.18,69,36,65.48,Adapte,Adapte,Adapte / Adapte
6,7,2015,Ingenieurie,1,7,QROC,0.4077,0.7,0.24,63,51,26,25,1.24,50.98,26,37,40.77,Difficile,Difficile,Difficile / Difficile
836,7,2016,Ingenieurie,1,7,QROC,0.9972,0.03,0.57,53,53,53,0,1.0,100.0,53,0,99.72,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1666,7,2017,Ingenieurie,1,7,QROC,0.9,0.09,0.64,46,42,41,1,1.1,97.62,41,5,90.0,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2496,7,2018,Ingenieurie,1,7,QROC,0.9229,0.09,0.74,50,47,46,1,1.06,97.87,46,4,92.29,Trop Facile,Trop Facile,Trop Facile / Trop Facile
