,Course_ID,Year,Course_Digit_Duration,Ressources_Amount,Ressources_Rank,Ressources_Type_Basic,Ressources_Type_Advanced
0,3,2013,9,9,1,Vid,Vid1H
1,3,2013,9,9,2,Quiz,Quiz1H
2,3,2013,9,9,3,Quiz,Vid1H
3,3,2013,9,9,4,Vid,Vid1H
4,3,2013,9,9,5,Vid,Quiz1H
5,3,2013,9,9,6,Vid,Vid1H
6,3,2013,9,9,7,Quiz,Quiz1H
7,3,2013,9,9,8,Quiz,Vid1H
8,3,2013,9,9,9,Vid,Quiz1H
9,4,2013,13,8,1,Vid,Vid1H
10,4,2013,13,8,2,Quiz,Quiz2H
11,4,2013,13,8,3,Quiz,Vid2H
12,4,2013,13,8,4,Exam,Exam1H
13,4,2013,13,8,5,Vid,Vid2H
14,4,2013,13,8,6,Exam,Exam1H
15,4,2013,13,8,7,Vid,Quiz2H
16,4,2013,13,8,8,Quiz,Quiz2H
17,9,2013,10,9,1,Exam,Quiz1H
18,9,2013,10,9,2,Exam,Quiz1H
19,9,2013,10,9,3,Vid,Exam1H
20,9,2013,10,9,4,Vid,Vid1H
21,9,2013,10,9,5,Quiz,Vid1H
22,9,2013,10,9,6,Vid,Exam2H
23,9,2013,10,9,7,Quiz,Vid1H
24,9,2013,10,9,8,Quiz,Quiz1H
25,9,2013,10,9,9,Quiz,Quiz1H
26,10,2013,8,7,1,Vid,Vid1H
27,10,2013,8,7,2,Exam,Vid1H
28,10,2013,8,7,3,Vid,Exam1H
29,10,2013,8,7,4,Quiz,Vid1H
30,10,2013,8,7,5,Vid,Quiz1H
31,10,2013,8,7,6,Quiz,Vid1H
32,10,2013,8,7,7,Vid,Quiz2H
33,23,2013,10,7,1,Exam,Exam1H
34,23,2013,10,7,2,Quiz,Exam1H
35,23,2013,10,7,3,Quiz,Vid3H
36,23,2013,10,7,4,Vid,Quiz1H
37,23,2013,10,7,5,Exam,Quiz2H
38,23,2013,10,7,6,Quiz,Quiz1H
39,23,2013,10,7,7,Quiz,Quiz1H
40,25,2013,11,5,1,Exam,Exam2H
41,25,2013,11,5,2,Vid,Vid4H
42,25,2013,11,5,3,Quiz,Quiz2H
43,25,2013,11,5,4,Exam,Exam1H
44,25,2013,11,5,5,Quiz,Quiz2H
45,28,2013,14,7,1,Quiz,Vid2H
46,28,2013,14,7,2,Exam,Quiz2H
47,28,2013,14,7,3,Vid,Quiz1H
48,28,2013,14,7,4,Exam,Vid4H
49,28,2013,14,7,5,Quiz,Exam1H
50,28,2013,14,7,6,Vid,Exam2H
51,28,2013,14,7,7,Quiz,Quiz2H
52,32,2013,13,9,1,Exam,Quiz2H
53,32,2013,13,9,2,Vid,Vid2H
54,32,2013,13,9,3,Quiz,Exam1H
55,32,2013,13,9,4,Vid,Vid1H
56,32,2013,13,9,5,Vid,Vid1H
57,32,2013,13,9,6,Vid,Exam2H
58,32,2013,13,9,7,Vid,Vid1H
59,32,2013,13,9,8,Quiz,Quiz2H
60,32,2013,13,9,9,Exam,Vid1H
61,35,2013,17,11,1,Vid,Quiz1H
62,35,2013,17,11,2,Quiz,Quiz1H
63,35,2013,17,11,3,Vid,Quiz1H
64,35,2013,17,11,4,Quiz,Quiz1H
65,35,2013,17,11,5,Exam,Vid4H
66,35,2013,17,11,6,Quiz,Vid3H
67,35,2013,17,11,7,Quiz,Quiz1H
68,35,2013,17,11,8,Quiz,Vid2H
69,35,2013,17,11,9,Quiz,Quiz1H
70,35,2013,17,11,10,Vid,Exam1H
71,35,2013,17,11,11,Quiz,Quiz1H
72,39,2013,9,5,1,Quiz,Quiz1H
73,39,2013,9,5,2,Exam,Exam1H
74,39,2013,9,5,3,Vid,Vid4H
75,39,2013,9,5,4,Quiz,Quiz1H
76,39,2013,9,5,5,Quiz,Quiz2H
77,40,2013,8,4,1,Exam,Vid1H
78,40,2013,8,4,2,Vid,Quiz2H
79,40,2013,8,4,3,Vid,Vid4H
80,40,2013,8,4,4,Quiz,Exam1H
81,48,2013,9,6,1,Exam,Vid2H
82,48,2013,9,6,2,Quiz,Quiz2H
83,48,2013,9,6,3,Vid,Quiz2H
84,48,2013,9,6,4,Vid,Vid1H
85,48,2013,9,6,5,Vid,Vid1H
86,48,2013,9,6,6,Quiz,Exam1H
87,54,2013,13,8,1,Vid,Vid3H
88,54,2013,13,8,2,Quiz,Exam1H
89,54,2013,13,8,3,Quiz,Quiz2H
90,54,2013,13,8,4,Exam,Vid1H
91,54,2013,13,8,5,Vid,Vid2H
92,54,2013,13,8,6,Exam,Quiz1H
93,54,2013,13,8,7,Quiz,Exam1H
94,54,2013,13,8,8,Vid,Quiz2H
95,57,2013,17,11,1,Quiz,Quiz1H
96,57,2013,17,11,2,Vid,Exam3H
97,57,2013,17,11,3,Vid,Quiz2H
98,57,2013,17,11,4,Vid,Quiz1H
99,57,2013,17,11,5,Exam,Vid1H
100,57,2013,17,11,6,Quiz,Vid1H
101,57,2013,17,11,7,Quiz,Vid1H
102,57,2013,17,11,8,Vid,Vid1H
103,57,2013,17,11,9,Quiz,Vid3H
104,57,2013,17,11,10,Quiz,Quiz1H
105,57,2013,17,11,11,Vid,Quiz2H
106,59,2013,16,13,1,Exam,Vid1H
107,59,2013,16,13,2,Vid,Vid1H
108,59,2013,16,13,3,Quiz,Vid1H
109,59,2013,16,13,4,Vid,Vid1H
110,59,2013,16,13,5,Vid,Quiz2H
111,59,2013,16,13,6,Vid,Vid1H
112,59,2013,16,13,7,Vid,Quiz1H
113,59,2013,16,13,8,Vid,Vid3H
114,59,2013,16,13,9,Vid,Vid1H
115,59,2013,16,13,10,Vid,Vid1H
116,59,2013,16,13,11,Quiz,Exam1H
117,59,2013,16,13,12,Vid,Vid1H
118,59,2013,16,13,13,Vid,Vid1H
119,63,2013,18,15,1,Quiz,Vid1H
120,63,2013,18,15,2,Quiz,Quiz2H
121,63,2013,18,15,3,Vid,Vid1H
122,63,2013,18,15,4,Vid,Quiz2H
123,63,2013,18,15,5,Vid,Vid1H
124,63,2013,18,15,6,Quiz,Quiz1H
125,63,2013,18,15,7,Quiz,Quiz1H
126,63,2013,18,15,8,Vid,Vid1H
127,63,2013,18,15,9,Vid,Vid2H
128,63,2013,18,15,10,Vid,Vid1H
129,63,2013,18,15,11,Quiz,Exam1H
130,63,2013,18,15,12,Quiz,Quiz1H
131,63,2013,18,15,13,Vid,Quiz1H
132,63,2013,18,15,14,Exam,Quiz1H
133,63,2013,18,15,15,Quiz,Vid1H
134,64,2013,25,20,1,Vid,Quiz2H
135,64,2013,25,20,2,Quiz,Quiz1H
136,64,2013,25,20,3,Vid,Vid1H
137,64,2013,25,20,4,Vid,Vid1H
138,64,2013,25,20,5,Vid,Vid1H
139,64,2013,25,20,6,Vid,Vid1H
140,64,2013,25,20,7,Quiz,Quiz2H
141,64,2013,25,20,8,Vid,Vid1H
142,64,2013,25,20,9,Quiz,Vid1H
143,64,2013,25,20,10,Quiz,Vid1H
144,64,2013,25,20,11,Vid,Vid1H
145,64,2013,25,20,12,Quiz,Vid1H
146,64,2013,25,20,13,Vid,Vid1H
147,64,2013,25,20,14,Quiz,Quiz2H
148,64,2013,25,20,15,Quiz,Quiz1H
149,64,2013,25,20,16,Vid,Vid1H
150,64,2013,25,20,17,Vid,Quiz2H
