,Course_ID,Year,Course_Duration,Course_Duration_Digit,Number_Ressources,Number_Video,Number_Quiz,Number_Exam,Basic_Sequence,Advanced_Sequence
0,1,2013,33,21,14,10,4,0,Vid-Vid-Vid-Vid-Quiz-Quiz-Vid-Vid-Vid-Vid-Quiz-Vid-Quiz-Vid,Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid3H-Vid1H-Quiz1H-Quiz2H-Quiz2H-Vid1H-Quiz2H-Vid3H-Vid1H
1926,1,2015,33,30,24,13,10,1,Vid-Quiz-Quiz-Quiz-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Vid-Vid-Quiz-Quiz-Quiz-Quiz-Exam-Vid-Vid-Vid-Vid-Quiz-Quiz,Quiz1H-Vid1H-Quiz1H-Quiz2H-Quiz1H-Quiz1H-Vid2H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Quiz2H-Vid1H-Quiz1H-Vid1H-Exam2H-Quiz1H-Vid1H
3022,1,2016,33,33,22,14,6,2,Vid-Quiz-Vid-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Vid-Exam-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Exam-Vid,Vid1H-Vid3H-Vid1H-Vid1H-Vid1H-Vid3H-Quiz1H-Vid1H-Quiz2H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Exam2H-Vid1H-Vid3H-Exam1H-Vid1H-Quiz2H-Vid1H-Vid1H-Vid3H
4043,1,2017,33,33,21,3,15,3,Quiz-Quiz-Quiz-Vid-Quiz-Exam-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Exam-Quiz-Quiz-Exam-Quiz-Quiz-Quiz-Vid,Quiz1H-Exam1H-Quiz1H-Quiz1H-Quiz2H-Vid3H-Quiz1H-Vid3H-Exam1H-Quiz1H-Exam2H-Vid4H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz2H-Quiz1H-Quiz2H-Quiz1H-Quiz2H
6234,1,2019,33,33,18,10,7,1,Exam-Vid-Quiz-Vid-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid,Exam1H-Vid1H-Vid1H-Vid2H-Vid1H-Vid1H-Quiz2H-Quiz2H-Quiz2H-Quiz2H-Quiz2H-Vid1H-Vid4H-Quiz2H-Vid2H-Quiz2H-Vid1H-Vid4H
7199,1,2020,33,33,22,10,11,1,Quiz-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Vid-Exam-Vid-Vid-Quiz-Vid-Quiz-Vid-Vid-Quiz-Quiz-Quiz-Vid-Quiz,Quiz1H-Quiz1H-Vid2H-Quiz1H-Vid2H-Vid2H-Quiz1H-Quiz1H-Vid3H-Vid2H-Vid2H-Quiz1H-Quiz1H-Vid2H-Quiz1H-Vid1H-Vid3H-Vid2H-Quiz1H-Quiz1H-Quiz1H-Exam1H
5139,1,2018,33,33,24,13,8,3,Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Vid-Vid-Exam-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Exam-Quiz-Quiz-Vid-Exam-Vid-Vid,Quiz1H-Vid1H-Exam1H-Quiz2H-Vid1H-Quiz1H-Exam1H-Vid1H-Quiz1H-Vid1H-Vid2H-Exam1H-Vid1H-Vid1H-Quiz2H-Vid2H-Quiz2H-Vid2H-Vid1H-Vid1H-Quiz2H-Vid2H-Vid2H-Quiz1H
1014,1,2014,33,27,20,12,7,1,Vid-Quiz-Vid-Vid-Vid-Quiz-Exam-Vid-Quiz-Quiz-Quiz-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid-Vid-Vid,Vid1H-Quiz2H-Vid1H-Quiz1H-Quiz2H-Exam2H-Vid1H-Quiz1H-Vid2H-Vid1H-Vid1H-Vid2H-Quiz2H-Vid1H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Quiz1H
4044,2,2017,15,4,3,1,1,1,Exam-Vid-Quiz,Exam1H-Vid1H-Quiz2H
3023,2,2016,15,3,2,1,1,0,Quiz-Vid,Quiz2H-Vid1H
5140,2,2018,15,6,4,2,1,1,Vid-Vid-Exam-Quiz,Vid2H-Quiz2H-Vid1H-Exam1H
1927,2,2015,15,3,3,1,2,0,Vid-Quiz-Quiz,Quiz1H-Vid1H-Quiz1H
1,2,2013,15,2,2,1,1,0,Vid-Quiz,Quiz1H-Vid1H
6235,2,2019,15,6,5,3,1,1,Quiz-Vid-Exam-Vid-Vid,Quiz2H-Exam1H-Vid1H-Vid1H-Vid1H
1015,2,2014,15,3,3,2,1,0,Vid-Quiz-Vid,Vid1H-Quiz1H-Vid1H
7200,2,2020,15,8,6,3,2,1,Vid-Exam-Vid-Quiz-Quiz-Vid,Vid2H-Quiz1H-Vid1H-Quiz2H-Exam1H-Vid1H
4045,3,2017,28,28,18,12,5,1,Vid-Exam-Vid-Quiz-Vid-Vid-Vid-Vid-Quiz-Quiz-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Quiz,Quiz2H-Vid1H-Vid1H-Vid2H-Quiz2H-Quiz2H-Vid2H-Vid1H-Vid1H-Quiz2H-Quiz2H-Exam1H-Vid2H-Vid2H-Vid1H-Vid2H-Vid1H-Vid1H
1016,3,2014,28,26,13,9,4,0,Vid-Vid-Vid-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Quiz-Quiz-Quiz,Vid2H-Vid4H-Vid4H-Vid2H-Quiz2H-Vid1H-Vid1H-Quiz2H-Quiz1H-Quiz2H-Vid1H-Vid2H-Vid2H
5141,3,2018,28,28,20,4,12,4,Exam-Quiz-Vid-Vid-Exam-Exam-Vid-Quiz-Vid-Quiz-Exam-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz,Quiz1H-Vid2H-Vid2H-Quiz1H-Quiz2H-Quiz2H-Exam1H-Quiz1H-Quiz1H-Quiz2H-Quiz1H-Exam1H-Vid2H-Quiz1H-Vid2H-Quiz2H-Exam1H-Exam1H-Quiz1H-Quiz1H
2,3,2013,28,23,16,8,6,2,Exam-Vid-Vid-Vid-Quiz-Vid-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Exam-Vid-Quiz-Vid,Vid2H-Vid1H-Quiz2H-Exam1H-Vid1H-Vid1H-Vid1H-Vid1H-Quiz2H-Quiz2H-Vid1H-Quiz2H-Quiz2H-Exam1H-Quiz2H-Vid1H
7201,3,2020,28,28,13,5,7,1,Vid-Quiz-Quiz-Exam-Quiz-Vid-Vid-Quiz-Quiz-Quiz-Vid-Quiz-Vid,Quiz1H-Quiz1H-Quiz1H-Vid4H-Vid4H-Vid3H-Quiz1H-Quiz1H-Vid4H-Quiz1H-Vid4H-Exam2H-Quiz1H
1928,3,2015,28,27,19,5,12,2,Exam-Quiz-Exam-Vid-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Vid-Quiz,Exam1H-Vid3H-Quiz1H-Vid3H-Quiz1H-Quiz1H-Quiz2H-Vid1H-Exam2H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid3H-Quiz1H-Quiz1H-Quiz1H
6236,3,2019,28,28,23,8,14,1,Vid-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Vid-Vid-Quiz-Exam-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Vid,Quiz2H-Quiz1H-Exam1H-Vid1H-Vid1H-Vid1H-Quiz2H-Quiz1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid3H-Quiz1H-Quiz2H-Quiz1H-Quiz1H-Quiz1H-Vid1H
