,Course_ID,Year,Course_Duration,Course_Ress_Digit,Course_Ress_inClass,Ressources_Amount,Ressources_Rank,Ressources_Type_Basic
0,1,2013,14,2,2,4,1,Lecture
1,1,2013,14,2,2,4,2,Video
2,1,2013,14,2,2,4,3,Video
3,1,2013,14,2,2,4,4,Lecture
4,2,2013,22,2,10,12,1,Video
5,2,2013,22,2,10,12,2,Lecture
6,2,2013,22,2,10,12,3,Exercise
7,2,2013,22,2,10,12,4,QCM
8,2,2013,22,2,10,12,5,Lecture
9,2,2013,22,2,10,12,6,Lecture
10,2,2013,22,2,10,12,7,Lecture
11,2,2013,22,2,10,12,8,Lecture
12,2,2013,22,2,10,12,9,Exercise
13,2,2013,22,2,10,12,10,Exercise
14,2,2013,22,2,10,12,11,Lecture
15,2,2013,22,2,10,12,12,Lecture
16,3,2013,17,5,12,17,1,Lecture
17,3,2013,17,5,12,17,2,QCM
18,3,2013,17,5,12,17,3,Lecture
19,3,2013,17,5,12,17,4,Lecture
20,3,2013,17,5,12,17,5,Lecture
21,3,2013,17,5,12,17,6,Lecture
22,3,2013,17,5,12,17,7,Exercise
23,3,2013,17,5,12,17,8,Lecture
24,3,2013,17,5,12,17,9,Test
25,3,2013,17,5,12,17,10,Exercise
26,3,2013,17,5,12,17,11,QCM
27,3,2013,17,5,12,17,12,QCM
28,3,2013,17,5,12,17,13,Video
29,3,2013,17,5,12,17,14,Exercise
30,3,2013,17,5,12,17,15,Exercise
31,3,2013,17,5,12,17,16,Lecture
32,3,2013,17,5,12,17,17,Examen
33,4,2013,15,2,4,6,1,Lecture
34,4,2013,15,2,4,6,2,Exercise
35,4,2013,15,2,4,6,3,Lecture
36,4,2013,15,2,4,6,4,Video
37,4,2013,15,2,4,6,5,Video
38,4,2013,15,2,4,6,6,Examen
39,5,2013,37,3,22,25,1,Lecture
40,5,2013,37,3,22,25,2,Lecture
41,5,2013,37,3,22,25,3,Lecture
42,5,2013,37,3,22,25,4,Lecture
43,5,2013,37,3,22,25,5,Exercise
44,5,2013,37,3,22,25,6,QCM
45,5,2013,37,3,22,25,7,Lecture
46,5,2013,37,3,22,25,8,Exercise
47,5,2013,37,3,22,25,9,Exercise
48,5,2013,37,3,22,25,10,Lecture
49,5,2013,37,3,22,25,11,Exercise
50,5,2013,37,3,22,25,12,Lecture
51,5,2013,37,3,22,25,13,Exercise
52,5,2013,37,3,22,25,14,Video
53,5,2013,37,3,22,25,15,Exercise
54,5,2013,37,3,22,25,16,Exercise
55,5,2013,37,3,22,25,17,Lecture
56,5,2013,37,3,22,25,18,Lecture
57,5,2013,37,3,22,25,19,Lecture
58,5,2013,37,3,22,25,20,Lecture
59,5,2013,37,3,22,25,21,Lecture
60,5,2013,37,3,22,25,22,Video
61,5,2013,37,3,22,25,23,Lecture
62,5,2013,37,3,22,25,24,Lecture
63,5,2013,37,3,22,25,25,Lecture
64,6,2013,19,2,3,5,1,Exercise
65,6,2013,19,2,3,5,2,Lecture
66,6,2013,19,2,3,5,3,Lecture
67,6,2013,19,2,3,5,4,Video
68,6,2013,19,2,3,5,5,Video
69,7,2013,20,5,5,10,1,QCM
70,7,2013,20,5,5,10,2,Lecture
71,7,2013,20,5,5,10,3,Exercise
72,7,2013,20,5,5,10,4,Video
73,7,2013,20,5,5,10,5,Test
74,7,2013,20,5,5,10,6,Lecture
75,7,2013,20,5,5,10,7,QCM
76,7,2013,20,5,5,10,8,QCM
77,7,2013,20,5,5,10,9,Lecture
78,7,2013,20,5,5,10,10,Examen
79,8,2013,11,3,4,7,1,Lecture
80,8,2013,11,3,4,7,2,Video
81,8,2013,11,3,4,7,3,Exercise
82,8,2013,11,3,4,7,4,Video
83,8,2013,11,3,4,7,5,Exercise
84,8,2013,11,3,4,7,6,Video
85,8,2013,11,3,4,7,7,Examen
86,9,2013,6,1,2,3,1,Lecture
87,9,2013,6,1,2,3,2,Lecture
88,9,2013,6,1,2,3,3,Video
89,10,2013,16,2,3,5,1,Exercise
90,10,2013,16,2,3,5,2,Lecture
91,10,2013,16,2,3,5,3,QCM
92,10,2013,16,2,3,5,4,Lecture
93,10,2013,16,2,3,5,5,Video
94,11,2013,30,1,10,11,1,Lecture
95,11,2013,30,1,10,11,2,Lecture
96,11,2013,30,1,10,11,3,Lecture
97,11,2013,30,1,10,11,4,Video
98,11,2013,30,1,10,11,5,Lecture
99,11,2013,30,1,10,11,6,Lecture
100,11,2013,30,1,10,11,7,Lecture
101,11,2013,30,1,10,11,8,Exercise
102,11,2013,30,1,10,11,9,Lecture
103,11,2013,30,1,10,11,10,Exercise
104,11,2013,30,1,10,11,11,Examen
105,12,2013,18,1,4,5,1,Lecture
106,12,2013,18,1,4,5,2,Exercise
107,12,2013,18,1,4,5,3,QCM
108,12,2013,18,1,4,5,4,Lecture
109,12,2013,18,1,4,5,5,Exercise
110,13,2013,24,4,11,15,1,Lecture
111,13,2013,24,4,11,15,2,Exercise
112,13,2013,24,4,11,15,3,QCM
113,13,2013,24,4,11,15,4,Video
114,13,2013,24,4,11,15,5,Video
115,13,2013,24,4,11,15,6,Exercise
116,13,2013,24,4,11,15,7,Lecture
117,13,2013,24,4,11,15,8,Video
118,13,2013,24,4,11,15,9,Lecture
119,13,2013,24,4,11,15,10,Lecture
120,13,2013,24,4,11,15,11,Lecture
121,13,2013,24,4,11,15,12,Lecture
122,13,2013,24,4,11,15,13,Lecture
123,13,2013,24,4,11,15,14,Exercise
124,13,2013,24,4,11,15,15,Exercise
125,14,2013,9,2,2,4,1,Video
126,14,2013,9,2,2,4,2,Lecture
127,14,2013,9,2,2,4,3,QCM
128,14,2013,9,2,2,4,4,Lecture
129,15,2013,10,3,5,8,1,Exercise
130,15,2013,10,3,5,8,2,Video
131,15,2013,10,3,5,8,3,Lecture
132,15,2013,10,3,5,8,4,Lecture
133,15,2013,10,3,5,8,5,Lecture
134,15,2013,10,3,5,8,6,Lecture
135,15,2013,10,3,5,8,7,QCM
136,15,2013,10,3,5,8,8,Test
137,16,2013,25,8,16,24,1,Lecture
138,16,2013,25,8,16,24,2,Video
139,16,2013,25,8,16,24,3,Exercise
140,16,2013,25,8,16,24,4,Video
141,16,2013,25,8,16,24,5,Lecture
142,16,2013,25,8,16,24,6,Lecture
143,16,2013,25,8,16,24,7,QCM
144,16,2013,25,8,16,24,8,Video
145,16,2013,25,8,16,24,9,Exercise
146,16,2013,25,8,16,24,10,Lecture
147,16,2013,25,8,16,24,11,Video
148,16,2013,25,8,16,24,12,Exercise
149,16,2013,25,8,16,24,13,Lecture
150,16,2013,25,8,16,24,14,QCM
151,16,2013,25,8,16,24,15,Lecture
152,16,2013,25,8,16,24,16,Lecture
153,16,2013,25,8,16,24,17,Exercise
154,16,2013,25,8,16,24,18,Lecture
155,16,2013,25,8,16,24,19,QCM
156,16,2013,25,8,16,24,20,Lecture
157,16,2013,25,8,16,24,21,Lecture
158,16,2013,25,8,16,24,22,Video
159,16,2013,25,8,16,24,23,Lecture
160,16,2013,25,8,16,24,24,Examen
161,17,2013,8,1,4,5,1,Exercise
162,17,2013,8,1,4,5,2,QCM
163,17,2013,8,1,4,5,3,Lecture
164,17,2013,8,1,4,5,4,Exercise
165,17,2013,8,1,4,5,5,Examen
166,18,2013,5,2,2,4,1,QCM
167,18,2013,5,2,2,4,2,Video
168,18,2013,5,2,2,4,3,Exercise
169,18,2013,5,2,2,4,4,Lecture
170,19,2013,56,1,40,41,1,Lecture
171,19,2013,56,1,40,41,2,Exercise
172,19,2013,56,1,40,41,3,Lecture
173,19,2013,56,1,40,41,4,Lecture
174,19,2013,56,1,40,41,5,Lecture
175,19,2013,56,1,40,41,6,Exercise
176,19,2013,56,1,40,41,7,Lecture
177,19,2013,56,1,40,41,8,Lecture
178,19,2013,56,1,40,41,9,Lecture
179,19,2013,56,1,40,41,10,Exercise
180,19,2013,56,1,40,41,11,Exercise
181,19,2013,56,1,40,41,12,Exercise
182,19,2013,56,1,40,41,13,Exercise
183,19,2013,56,1,40,41,14,Lecture
184,19,2013,56,1,40,41,15,Exercise
185,19,2013,56,1,40,41,16,Lecture
186,19,2013,56,1,40,41,17,Lecture
187,19,2013,56,1,40,41,18,Exercise
188,19,2013,56,1,40,41,19,Lecture
189,19,2013,56,1,40,41,20,Lecture
190,19,2013,56,1,40,41,21,Examen
191,19,2013,56,1,40,41,22,Exercise
192,19,2013,56,1,40,41,23,Lecture
193,19,2013,56,1,40,41,24,Lecture
194,19,2013,56,1,40,41,25,Lecture
195,19,2013,56,1,40,41,26,Exercise
196,19,2013,56,1,40,41,27,Lecture
197,19,2013,56,1,40,41,28,Lecture
198,19,2013,56,1,40,41,29,Lecture
199,19,2013,56,1,40,41,30,Exercise
200,19,2013,56,1,40,41,31,Lecture
201,19,2013,56,1,40,41,32,Lecture
202,19,2013,56,1,40,41,33,Lecture
203,19,2013,56,1,40,41,34,Lecture
204,19,2013,56,1,40,41,35,Lecture
205,19,2013,56,1,40,41,36,Lecture
206,19,2013,56,1,40,41,37,Video
207,19,2013,56,1,40,41,38,Lecture
208,19,2013,56,1,40,41,39,Lecture
209,19,2013,56,1,40,41,40,Exercise
210,19,2013,56,1,40,41,41,Examen
211,20,2013,27,4,13,17,1,Lecture
212,20,2013,27,4,13,17,2,QCM
213,20,2013,27,4,13,17,3,Lecture
214,20,2013,27,4,13,17,4,Exercise
215,20,2013,27,4,13,17,5,Examen
216,20,2013,27,4,13,17,6,Video
217,20,2013,27,4,13,17,7,Lecture
218,20,2013,27,4,13,17,8,Exercise
219,20,2013,27,4,13,17,9,Lecture
220,20,2013,27,4,13,17,10,Exercise
221,20,2013,27,4,13,17,11,QCM
222,20,2013,27,4,13,17,12,Lecture
223,20,2013,27,4,13,17,13,Lecture
224,20,2013,27,4,13,17,14,Exercise
225,20,2013,27,4,13,17,15,Lecture
226,20,2013,27,4,13,17,16,Lecture
227,20,2013,27,4,13,17,17,Test
228,21,2013,50,0,16,16,1,Exercise
229,21,2013,50,0,16,16,2,Lecture
230,21,2013,50,0,16,16,3,Lecture
231,21,2013,50,0,16,16,4,Lecture
232,21,2013,50,0,16,16,5,Exercise
233,21,2013,50,0,16,16,6,Lecture
234,21,2013,50,0,16,16,7,Lecture
235,21,2013,50,0,16,16,8,Exercise
236,21,2013,50,0,16,16,9,Lecture
237,21,2013,50,0,16,16,10,Lecture
238,21,2013,50,0,16,16,11,Lecture
239,21,2013,50,0,16,16,12,Lecture
240,21,2013,50,0,16,16,13,Exercise
241,21,2013,50,0,16,16,14,Lecture
242,21,2013,50,0,16,16,15,Lecture
243,21,2013,50,0,16,16,16,Examen
244,22,2013,12,1,9,10,1,Lecture
245,22,2013,12,1,9,10,2,Lecture
246,22,2013,12,1,9,10,3,Lecture
247,22,2013,12,1,9,10,4,Lecture
248,22,2013,12,1,9,10,5,Lecture
249,22,2013,12,1,9,10,6,Exercise
250,22,2013,12,1,9,10,7,Exercise
251,22,2013,12,1,9,10,8,Exercise
252,22,2013,12,1,9,10,9,Video
253,22,2013,12,1,9,10,10,Lecture
254,23,2013,51,24,24,48,1,Video
255,23,2013,51,24,24,48,2,QCM
256,23,2013,51,24,24,48,3,Lecture
257,23,2013,51,24,24,48,4,Lecture
258,23,2013,51,24,24,48,5,Lecture
259,23,2013,51,24,24,48,6,Video
260,23,2013,51,24,24,48,7,QCM
261,23,2013,51,24,24,48,8,Lecture
262,23,2013,51,24,24,48,9,Video
263,23,2013,51,24,24,48,10,Exercise
264,23,2013,51,24,24,48,11,Exercise
265,23,2013,51,24,24,48,12,Video
266,23,2013,51,24,24,48,13,Video
267,23,2013,51,24,24,48,14,Exercise
268,23,2013,51,24,24,48,15,Lecture
269,23,2013,51,24,24,48,16,Lecture
270,23,2013,51,24,24,48,17,Examen
271,23,2013,51,24,24,48,18,Video
272,23,2013,51,24,24,48,19,Lecture
273,23,2013,51,24,24,48,20,QCM
274,23,2013,51,24,24,48,21,Video
275,23,2013,51,24,24,48,22,Exercise
276,23,2013,51,24,24,48,23,Lecture
277,23,2013,51,24,24,48,24,Video
278,23,2013,51,24,24,48,25,Video
279,23,2013,51,24,24,48,26,Exercise
280,23,2013,51,24,24,48,27,QCM
281,23,2013,51,24,24,48,28,Exercise
282,23,2013,51,24,24,48,29,QCM
283,23,2013,51,24,24,48,30,QCM
284,23,2013,51,24,24,48,31,Video
285,23,2013,51,24,24,48,32,Test
286,23,2013,51,24,24,48,33,QCM
287,23,2013,51,24,24,48,34,Exercise
288,23,2013,51,24,24,48,35,Lecture
289,23,2013,51,24,24,48,36,Video
290,23,2013,51,24,24,48,37,Video
291,23,2013,51,24,24,48,38,Lecture
292,23,2013,51,24,24,48,39,Exercise
293,23,2013,51,24,24,48,40,QCM
294,23,2013,51,24,24,48,41,Video
295,23,2013,51,24,24,48,42,Lecture
296,23,2013,51,24,24,48,43,QCM
297,23,2013,51,24,24,48,44,Lecture
298,23,2013,51,24,24,48,45,QCM
299,23,2013,51,24,24,48,46,Lecture
300,23,2013,51,24,24,48,47,Lecture
301,23,2013,51,24,24,48,48,Examen
302,24,2013,32,5,13,18,1,Video
303,24,2013,32,5,13,18,2,Lecture
304,24,2013,32,5,13,18,3,Lecture
305,24,2013,32,5,13,18,4,Video
306,24,2013,32,5,13,18,5,QCM
307,24,2013,32,5,13,18,6,Lecture
308,24,2013,32,5,13,18,7,Exercise
309,24,2013,32,5,13,18,8,QCM
310,24,2013,32,5,13,18,9,Lecture
311,24,2013,32,5,13,18,10,Lecture
312,24,2013,32,5,13,18,11,Exercise
313,24,2013,32,5,13,18,12,QCM
314,24,2013,32,5,13,18,13,Lecture
315,24,2013,32,5,13,18,14,Lecture
316,24,2013,32,5,13,18,15,Exercise
317,24,2013,32,5,13,18,16,Lecture
318,24,2013,32,5,13,18,17,Lecture
319,24,2013,32,5,13,18,18,Examen
320,25,2013,13,3,6,9,1,Exercise
321,25,2013,13,3,6,9,2,Lecture
322,25,2013,13,3,6,9,3,Video
323,25,2013,13,3,6,9,4,QCM
324,25,2013,13,3,6,9,5,Test
325,25,2013,13,3,6,9,6,Exercise
326,25,2013,13,3,6,9,7,Lecture
327,25,2013,13,3,6,9,8,Lecture
328,25,2013,13,3,6,9,9,Examen
329,26,2013,28,3,9,12,1,Lecture
330,26,2013,28,3,9,12,2,Video
331,26,2013,28,3,9,12,3,Video
332,26,2013,28,3,9,12,4,Video
333,26,2013,28,3,9,12,5,Exercise
334,26,2013,28,3,9,12,6,Exercise
335,26,2013,28,3,9,12,7,Lecture
336,26,2013,28,3,9,12,8,Lecture
337,26,2013,28,3,9,12,9,Lecture
338,26,2013,28,3,9,12,10,Lecture
339,26,2013,28,3,9,12,11,Exercise
340,26,2013,28,3,9,12,12,Examen
341,27,2013,39,2,12,14,1,Exercise
342,27,2013,39,2,12,14,2,Lecture
343,27,2013,39,2,12,14,3,Lecture
344,27,2013,39,2,12,14,4,Video
345,27,2013,39,2,12,14,5,Lecture
346,27,2013,39,2,12,14,6,Lecture
347,27,2013,39,2,12,14,7,Exercise
348,27,2013,39,2,12,14,8,Lecture
349,27,2013,39,2,12,14,9,Exercise
350,27,2013,39,2,12,14,10,QCM
351,27,2013,39,2,12,14,11,Lecture
352,27,2013,39,2,12,14,12,Exercise
353,27,2013,39,2,12,14,13,Lecture
354,27,2013,39,2,12,14,14,Lecture
355,28,2013,35,7,13,20,1,Lecture
356,28,2013,35,7,13,20,2,Lecture
357,28,2013,35,7,13,20,3,Lecture
358,28,2013,35,7,13,20,4,QCM
359,28,2013,35,7,13,20,5,Lecture
360,28,2013,35,7,13,20,6,Exercise
361,28,2013,35,7,13,20,7,Exercise
362,28,2013,35,7,13,20,8,Lecture
363,28,2013,35,7,13,20,9,Exercise
364,28,2013,35,7,13,20,10,Lecture
365,28,2013,35,7,13,20,11,Lecture
366,28,2013,35,7,13,20,12,QCM
367,28,2013,35,7,13,20,13,Video
368,28,2013,35,7,13,20,14,Video
369,28,2013,35,7,13,20,15,QCM
370,28,2013,35,7,13,20,16,QCM
371,28,2013,35,7,13,20,17,Exercise
372,28,2013,35,7,13,20,18,Lecture
373,28,2013,35,7,13,20,19,Lecture
374,28,2013,35,7,13,20,20,Test
375,29,2013,28,5,7,12,1,Lecture
376,29,2013,28,5,7,12,2,Lecture
377,29,2013,28,5,7,12,3,QCM
378,29,2013,28,5,7,12,4,Exercise
379,29,2013,28,5,7,12,5,QCM
380,29,2013,28,5,7,12,6,Lecture
381,29,2013,28,5,7,12,7,QCM
382,29,2013,28,5,7,12,8,Lecture
383,29,2013,28,5,7,12,9,Lecture
384,29,2013,28,5,7,12,10,Exercise
385,29,2013,28,5,7,12,11,Video
386,29,2013,28,5,7,12,12,Test
387,30,2013,39,3,24,27,1,Lecture
388,30,2013,39,3,24,27,2,Lecture
389,30,2013,39,3,24,27,3,Lecture
390,30,2013,39,3,24,27,4,Lecture
391,30,2013,39,3,24,27,5,Lecture
392,30,2013,39,3,24,27,6,Exercise
393,30,2013,39,3,24,27,7,Lecture
394,30,2013,39,3,24,27,8,Lecture
395,30,2013,39,3,24,27,9,Lecture
396,30,2013,39,3,24,27,10,QCM
397,30,2013,39,3,24,27,11,Lecture
398,30,2013,39,3,24,27,12,Lecture
399,30,2013,39,3,24,27,13,Exercise
400,30,2013,39,3,24,27,14,Exercise
401,30,2013,39,3,24,27,15,Lecture
402,30,2013,39,3,24,27,16,Lecture
403,30,2013,39,3,24,27,17,Video
404,30,2013,39,3,24,27,18,Exercise
405,30,2013,39,3,24,27,19,Lecture
406,30,2013,39,3,24,27,20,Exercise
407,30,2013,39,3,24,27,21,Lecture
408,30,2013,39,3,24,27,22,Exercise
409,30,2013,39,3,24,27,23,QCM
410,30,2013,39,3,24,27,24,Lecture
411,30,2013,39,3,24,27,25,Lecture
412,30,2013,39,3,24,27,26,Exercise
413,30,2013,39,3,24,27,27,Examen
414,31,2013,21,2,12,14,1,Lecture
415,31,2013,21,2,12,14,2,QCM
416,31,2013,21,2,12,14,3,Exercise
417,31,2013,21,2,12,14,4,Exercise
418,31,2013,21,2,12,14,5,Lecture
419,31,2013,21,2,12,14,6,Lecture
420,31,2013,21,2,12,14,7,Lecture
421,31,2013,21,2,12,14,8,Video
422,31,2013,21,2,12,14,9,Exercise
423,31,2013,21,2,12,14,10,Lecture
424,31,2013,21,2,12,14,11,Lecture
425,31,2013,21,2,12,14,12,Lecture
426,31,2013,21,2,12,14,13,Lecture
427,31,2013,21,2,12,14,14,Examen
428,32,2013,21,2,5,7,1,Video
429,32,2013,21,2,5,7,2,Lecture
430,32,2013,21,2,5,7,3,Lecture
431,32,2013,21,2,5,7,4,Exercise
432,32,2013,21,2,5,7,5,Lecture
433,32,2013,21,2,5,7,6,Video
434,32,2013,21,2,5,7,7,Examen
435,33,2013,46,4,31,35,1,Lecture
436,33,2013,46,4,31,35,2,Lecture
437,33,2013,46,4,31,35,3,Exercise
438,33,2013,46,4,31,35,4,Exercise
439,33,2013,46,4,31,35,5,Lecture
440,33,2013,46,4,31,35,6,Lecture
441,33,2013,46,4,31,35,7,Lecture
442,33,2013,46,4,31,35,8,Lecture
443,33,2013,46,4,31,35,9,Lecture
444,33,2013,46,4,31,35,10,Lecture
445,33,2013,46,4,31,35,11,Lecture
446,33,2013,46,4,31,35,12,Examen
447,33,2013,46,4,31,35,13,Lecture
448,33,2013,46,4,31,35,14,Lecture
449,33,2013,46,4,31,35,15,QCM
450,33,2013,46,4,31,35,16,Exercise
451,33,2013,46,4,31,35,17,Lecture
452,33,2013,46,4,31,35,18,Lecture
453,33,2013,46,4,31,35,19,Lecture
454,33,2013,46,4,31,35,20,QCM
455,33,2013,46,4,31,35,21,Lecture
456,33,2013,46,4,31,35,22,Exercise
457,33,2013,46,4,31,35,23,Lecture
458,33,2013,46,4,31,35,24,Examen
459,33,2013,46,4,31,35,25,Lecture
460,33,2013,46,4,31,35,26,Exercise
461,33,2013,46,4,31,35,27,Lecture
462,33,2013,46,4,31,35,28,Lecture
463,33,2013,46,4,31,35,29,Lecture
464,33,2013,46,4,31,35,30,Exercise
465,33,2013,46,4,31,35,31,Exercise
466,33,2013,46,4,31,35,32,Exercise
467,33,2013,46,4,31,35,33,Video
468,33,2013,46,4,31,35,34,Exercise
469,33,2013,46,4,31,35,35,Test
470,34,2013,8,2,3,5,1,Video
471,34,2013,8,2,3,5,2,Lecture
472,34,2013,8,2,3,5,3,Exercise
473,34,2013,8,2,3,5,4,Video
474,34,2013,8,2,3,5,5,Lecture
475,35,2013,21,5,10,15,1,Lecture
476,35,2013,21,5,10,15,2,QCM
477,35,2013,21,5,10,15,3,Exercise
478,35,2013,21,5,10,15,4,Lecture
479,35,2013,21,5,10,15,5,Lecture
480,35,2013,21,5,10,15,6,Lecture
481,35,2013,21,5,10,15,7,Lecture
482,35,2013,21,5,10,15,8,Examen
483,35,2013,21,5,10,15,9,QCM
484,35,2013,21,5,10,15,10,Video
485,35,2013,21,5,10,15,11,Exercise
486,35,2013,21,5,10,15,12,QCM
487,35,2013,21,5,10,15,13,Exercise
488,35,2013,21,5,10,15,14,Lecture
489,35,2013,21,5,10,15,15,Test
490,36,2013,33,3,20,23,1,Exercise
491,36,2013,33,3,20,23,2,Lecture
492,36,2013,33,3,20,23,3,Exercise
493,36,2013,33,3,20,23,4,Video
494,36,2013,33,3,20,23,5,Lecture
495,36,2013,33,3,20,23,6,Lecture
496,36,2013,33,3,20,23,7,Exercise
497,36,2013,33,3,20,23,8,Lecture
498,36,2013,33,3,20,23,9,Exercise
499,36,2013,33,3,20,23,10,Exercise
500,36,2013,33,3,20,23,11,Lecture
501,36,2013,33,3,20,23,12,Lecture
502,36,2013,33,3,20,23,13,Video
503,36,2013,33,3,20,23,14,Lecture
504,36,2013,33,3,20,23,15,Lecture
505,36,2013,33,3,20,23,16,Lecture
506,36,2013,33,3,20,23,17,Exercise
507,36,2013,33,3,20,23,18,Lecture
508,36,2013,33,3,20,23,19,Lecture
509,36,2013,33,3,20,23,20,Lecture
510,36,2013,33,3,20,23,21,Video
511,36,2013,33,3,20,23,22,Lecture
512,36,2013,33,3,20,23,23,Examen
513,37,2013,36,3,20,23,1,Lecture
514,37,2013,36,3,20,23,2,Lecture
515,37,2013,36,3,20,23,3,Lecture
516,37,2013,36,3,20,23,4,Exercise
517,37,2013,36,3,20,23,5,Exercise
518,37,2013,36,3,20,23,6,Lecture
519,37,2013,36,3,20,23,7,Lecture
520,37,2013,36,3,20,23,8,Lecture
521,37,2013,36,3,20,23,9,Lecture
522,37,2013,36,3,20,23,10,Exercise
523,37,2013,36,3,20,23,11,Video
524,37,2013,36,3,20,23,12,QCM
525,37,2013,36,3,20,23,13,Lecture
526,37,2013,36,3,20,23,14,Lecture
527,37,2013,36,3,20,23,15,QCM
