,Course_ID,Year,Course_Duration,Course_Digit,Number_Ressources,Number_Video,Number_Quiz,Number_Exam,Basic_Sequence,Advanced_Sequence
0,1,2013,15,6,5,3,1,1,Exam-Video-Video-Quizz-Video,Exam Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H
1,2,2013,49,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
2,3,2013,46,9,8,3,4,1,Video-Quizz-Video-Quizz-Quizz-Exam-Quizz-Video,Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Exam Duration: 2H-Quizz Duration: 1H-Video Duration: 1H
3,4,2013,28,13,11,8,3,0,Quizz-Video-Video-Video-Video-Video-Quizz-Video-Video-Quizz-Video,Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 2H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H
4,5,2013,30,4,3,1,1,1,Quizz-Video-Exam,Quizz Duration: 2H-Video Duration: 1H-Exam Duration: 1H
5,6,2013,5,0,0,0,0,0,,
6,7,2013,14,5,5,1,3,1,Quizz-Video-Quizz-Quizz-Exam,Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H
7,8,2013,15,5,4,3,1,0,Video-Video-Video-Quizz,Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 2H
8,9,2013,36,10,8,4,3,1,Quizz-Quizz-Video-Exam-Video-Video-Video-Quizz,Quizz Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 2H
9,10,2013,16,8,5,2,2,1,Video-Quizz-Quizz-Video-Exam,Video Duration: 2H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 3H-Exam Duration: 1H
10,11,2013,60,3,2,1,1,0,Video-Quizz,Video Duration: 1H-Quizz Duration: 2H
11,12,2013,26,7,6,3,2,1,Video-Quizz-Exam-Quizz-Video-Video,Video Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Video Duration: 1H
12,13,2013,5,1,1,0,1,0,Quizz,Quizz Duration: 1H
13,14,2013,15,2,2,1,1,0,Video-Quizz,Video Duration: 1H-Quizz Duration: 1H
14,15,2013,38,0,0,0,0,0,,
15,16,2013,5,1,1,0,1,0,Quizz,Quizz Duration: 1H
16,17,2013,32,4,2,1,1,0,Video-Quizz,Video Duration: 2H-Quizz Duration: 2H
17,18,2013,11,0,0,0,0,0,,
18,19,2013,8,1,1,0,1,0,Quizz,Quizz Duration: 1H
19,20,2013,17,0,0,0,0,0,,
20,21,2013,9,4,4,1,2,1,Video-Exam-Quizz-Quizz,Video Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H
21,22,2013,15,0,0,0,0,0,,
22,23,2013,27,10,7,2,3,2,Quizz-Quizz-Quizz-Video-Exam-Exam-Video,Quizz Duration: 2H-Quizz Duration: 2H-Quizz Duration: 2H-Video Duration: 1H-Exam Duration: 1H-Exam Duration: 1H-Video Duration: 1H
23,24,2013,5,1,1,0,1,0,Quizz,Quizz Duration: 1H
24,25,2013,25,11,6,3,2,1,Quizz-Video-Video-Exam-Quizz-Video,Quizz Duration: 1H-Video Duration: 3H-Video Duration: 1H-Exam Duration: 1H-Quizz Duration: 2H-Video Duration: 3H
25,26,2013,49,0,0,0,0,0,,
26,27,2013,37,7,7,2,4,1,Video-Quizz-Quizz-Video-Exam-Quizz-Quizz,Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H
27,28,2013,36,14,10,2,5,3,Quizz-Exam-Exam-Video-Quizz-Exam-Quizz-Quizz-Video-Quizz,Quizz Duration: 2H-Exam Duration: 1H-Exam Duration: 2H-Video Duration: 2H-Quizz Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 2H-Quizz Duration: 1H
28,29,2013,19,4,3,1,1,1,Quizz-Video-Exam,Quizz Duration: 2H-Video Duration: 1H-Exam Duration: 1H
29,30,2013,6,1,1,0,1,0,Quizz,Quizz Duration: 1H
30,31,2013,12,0,0,0,0,0,,
31,32,2013,32,13,10,6,3,1,Quizz-Video-Video-Exam-Video-Video-Video-Quizz-Video-Quizz,Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H-Exam Duration: 2H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 3H-Quizz Duration: 1H
32,33,2013,19,1,1,0,1,0,Quizz,Quizz Duration: 1H
33,34,2013,13,3,2,1,1,0,Video-Quizz,Video Duration: 2H-Quizz Duration: 1H
34,35,2013,40,17,9,6,2,1,Quizz-Quizz-Video-Video-Video-Video-Video-Video-Exam,Quizz Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Video Duration: 1H-Video Duration: 4H-Video Duration: 3H-Video Duration: 3H-Video Duration: 1H-Exam Duration: 1H
35,36,2013,13,6,4,2,2,0,Quizz-Quizz-Video-Video,Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 3H
36,37,2013,54,4,4,1,2,1,Video-Quizz-Quizz-Exam,Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H
37,38,2013,52,2,2,1,1,0,Video-Quizz,Video Duration: 1H-Quizz Duration: 1H
38,39,2013,40,9,8,3,4,1,Exam-Quizz-Quizz-Video-Quizz-Video-Video-Quizz,Exam Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
39,40,2013,25,8,7,3,4,0,Video-Quizz-Quizz-Quizz-Video-Quizz-Video,Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H
40,41,2013,7,3,3,1,2,0,Quizz-Video-Quizz,Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
41,42,2013,37,3,2,1,1,0,Video-Quizz,Video Duration: 2H-Quizz Duration: 1H
42,43,2013,56,4,4,1,2,1,Quizz-Exam-Video-Quizz,Quizz Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
43,44,2013,30,4,4,1,2,1,Quizz-Quizz-Exam-Video,Quizz Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Video Duration: 1H
44,45,2013,30,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
45,46,2013,9,1,1,0,1,0,Quizz,Quizz Duration: 1H
46,47,2013,32,3,3,2,1,0,Quizz-Video-Video,Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H
47,48,2013,48,9,4,1,3,0,Video-Quizz-Quizz-Quizz,Video Duration: 4H-Quizz Duration: 1H-Quizz Duration: 2H-Quizz Duration: 2H
48,49,2013,13,4,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 3H
49,50,2013,40,4,4,1,2,1,Exam-Quizz-Quizz-Video,Exam Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 1H
50,51,2013,5,0,0,0,0,0,,
51,52,2013,11,4,2,1,1,0,Quizz-Video,Quizz Duration: 2H-Video Duration: 2H
52,53,2013,31,6,5,2,2,1,Quizz-Quizz-Video-Exam-Video,Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 2H-Exam Duration: 1H-Video Duration: 1H
53,54,2013,32,13,9,2,4,3,Quizz-Quizz-Quizz-Quizz-Video-Exam-Exam-Exam-Video,Quizz Duration: 2H-Quizz Duration: 2H-Quizz Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Exam Duration: 1H-Exam Duration: 1H-Exam Duration: 1H-Video Duration: 2H
54,55,2013,18,6,5,2,2,1,Quizz-Video-Exam-Video-Quizz,Quizz Duration: 2H-Video Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
55,56,2013,15,7,4,2,2,0,Quizz-Video-Quizz-Video,Quizz Duration: 2H-Video Duration: 2H-Quizz Duration: 2H-Video Duration: 1H
56,57,2013,36,17,13,8,4,1,Quizz-Exam-Video-Quizz-Video-Video-Video-Video-Video-Video-Quizz-Video-Quizz,Quizz Duration: 2H-Exam Duration: 2H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Quizz Duration: 1H
57,58,2013,12,0,0,0,0,0,,
58,59,2013,40,16,12,6,6,0,Quizz-Quizz-Quizz-Video-Video-Video-Video-Video-Quizz-Quizz-Video-Quizz,Quizz Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 4H-Video Duration: 1H-Video Duration: 2H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H
59,60,2013,6,1,1,0,1,0,Quizz,Quizz Duration: 1H
60,61,2013,10,2,2,1,1,0,Video-Quizz,Video Duration: 1H-Quizz Duration: 1H
61,62,2013,15,2,2,1,1,0,Video-Quizz,Video Duration: 1H-Quizz Duration: 1H
62,63,2013,45,18,7,3,3,1,Video-Video-Exam-Video-Quizz-Quizz-Quizz,Video Duration: 3H-Video Duration: 2H-Exam Duration: 3H-Video Duration: 4H-Quizz Duration: 2H-Quizz Duration: 2H-Quizz Duration: 2H
63,64,2013,56,25,20,14,3,3,Video-Video-Video-Exam-Exam-Video-Video-Exam-Video-Quizz-Video-Video-Video-Video-Quizz-Video-Video-Video-Quizz-Video,Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Exam Duration: 2H-Exam Duration: 1H-Video Duration: 1H-Video Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 3H-Quizz Duration: 2H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H
64,65,2013,15,0,0,0,0,0,,
65,66,2013,33,15,12,3,6,3,Exam-Exam-Video-Quizz-Exam-Video-Quizz-Video-Quizz-Quizz-Quizz-Quizz,Exam Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Quizz Duration: 2H-Quizz Duration: 2H
66,67,2013,27,11,7,1,5,1,Exam-Quizz-Quizz-Video-Quizz-Quizz-Quizz,Exam Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 4H-Quizz Duration: 1H-Quizz Duration: 2H-Quizz Duration: 1H
67,68,2013,12,4,4,1,2,1,Quizz-Video-Quizz-Exam,Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H
68,69,2013,5,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
69,70,2013,15,3,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 2H
70,71,2013,16,7,6,5,1,0,Video-Video-Video-Quizz-Video-Video,Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Video Duration: 1H
71,72,2013,21,7,4,1,2,1,Quizz-Exam-Quizz-Video,Quizz Duration: 1H-Exam Duration: 1H-Quizz Duration: 2H-Video Duration: 3H
72,73,2013,33,6,4,2,2,0,Video-Quizz-Quizz-Video,Video Duration: 2H-Quizz Duration: 1H-Quizz Duration: 2H-Video Duration: 1H
73,74,2013,26,5,5,1,3,1,Video-Quizz-Quizz-Exam-Quizz,Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H
74,75,2013,12,3,2,1,1,0,Video-Quizz,Video Duration: 2H-Quizz Duration: 1H
75,76,2013,8,0,0,0,0,0,,
76,77,2013,36,5,3,1,1,1,Video-Exam-Quizz,Video Duration: 2H-Exam Duration: 1H-Quizz Duration: 2H
77,78,2013,25,5,4,1,3,0,Quizz-Quizz-Quizz-Video,Quizz Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 2H
78,79,2013,58,6,4,3,1,0,Video-Video-Quizz-Video,Video Duration: 2H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H
79,80,2013,34,9,8,3,3,2,Video-Quizz-Quizz-Quizz-Video-Exam-Video-Exam,Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 2H-Exam Duration: 1H-Video Duration: 1H-Exam Duration: 1H
80,81,2013,34,3,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 2H
81,82,2013,26,8,8,6,2,0,Video-Video-Video-Quizz-Quizz-Video-Video-Video,Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H
82,83,2013,24,5,3,2,1,0,Quizz-Video-Video,Quizz Duration: 2H-Video Duration: 2H-Video Duration: 1H
83,84,2013,7,1,1,0,1,0,Quizz,Quizz Duration: 1H
84,85,2013,15,3,3,2,1,0,Video-Quizz-Video,Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H
85,86,2013,52,18,15,11,3,1,Video-Video-Video-Quizz-Video-Video-Video-Video-Quizz-Video-Quizz-Exam-Video-Video-Video,Video Duration: 1H-Video Duration: 3H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H
86,87,2013,45,20,17,11,3,3,Video-Video-Video-Exam-Exam-Video-Video-Video-Quizz-Video-Quizz-Video-Video-Video-Quizz-Exam-Video,Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Exam Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 2H-Video Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H-Video Duration: 1H-Quizz Duration: 2H-Exam Duration: 2H-Video Duration: 1H
87,88,2013,15,3,3,2,1,0,Quizz-Video-Video,Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H
88,89,2013,50,5,3,2,1,0,Quizz-Video-Video,Quizz Duration: 1H-Video Duration: 2H-Video Duration: 2H
89,90,2013,47,12,10,4,4,2,Quizz-Exam-Quizz-Video-Video-Quizz-Video-Video-Exam-Quizz,Quizz Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 3H-Quizz Duration: 1H-Video Duration: 1H-Video Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H
90,91,2013,6,1,1,0,1,0,Quizz,Quizz Duration: 1H
91,92,2013,41,14,12,2,7,3,Video-Quizz-Quizz-Quizz-Quizz-Quizz-Exam-Video-Quizz-Quizz-Exam-Exam,Video Duration: 3H-Quizz Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Video Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Exam Duration: 1H
92,93,2013,23,5,4,1,3,0,Video-Quizz-Quizz-Quizz,Video Duration: 2H-Quizz Duration: 1H-Quizz Duration: 1H-Quizz Duration: 1H
93,94,2013,16,2,2,1,1,0,Quizz-Video,Quizz Duration: 1H-Video Duration: 1H
94,95,2013,25,4,3,1,1,1,Quizz-Video-Exam,Quizz Duration: 2H-Video Duration: 1H-Exam Duration: 1H
95,96,2013,38,7,6,1,4,1,Quizz-Video-Quizz-Quizz-Exam-Quizz,Quizz Duration: 1H-Video Duration: 2H-Quizz Duration: 1H-Quizz Duration: 1H-Exam Duration: 1H-Quizz Duration: 1H
96,97,2013,17,8,4,1,2,1,Video-Quizz-Quizz-Exam,Video Duration: 3H-Quizz Duration: 2H-Quizz Duration: 2H-Exam Duration: 1H
97,98,2013,16,0,0,0,0,0,,
