,Course_ID,Year,Course_Duration,Course_Duration_Digit,Course_Duration_Present,Digit_Ratio,Digit_Percentage,Total_Courses_perYear,Duration_Video,Duration_Quiz,Duration_Exam,Number_Video,Number_Quiz,Number_Exam,Number_Ressources,Number_Video_1H,Number_Video_2H,Number_Video_3H,Number_Video_4H,Number_Quiz_1H,Number_Quiz_2H,Number_Exam_1H,Number_Exam_2H,Number_Exam_3H,Number_Exam_4H
0,1,2013,33,21,12,0.64,64,1014,14,7,0,10,4,0,14,8,0,2,0,1,3,0,0,0,0
1,2,2013,15,2,13,0.15,15,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
2,3,2013,28,23,5,0.83,83,1014,9,12,2,8,6,2,16,7,1,0,0,0,6,2,0,0,0
3,4,2013,40,36,4,0.91,91,1014,19,16,1,14,12,1,27,11,1,2,0,8,4,1,0,0,0
4,5,2013,33,23,10,0.7,70,1014,7,13,3,3,12,1,16,1,1,0,1,11,1,0,0,1,0
5,6,2013,41,39,2,0.95,95,1014,15,22,2,15,17,2,34,15,0,0,0,12,5,2,0,0,0
6,7,2013,55,38,17,0.69,69,1014,24,12,2,17,11,2,30,13,1,3,0,10,1,2,0,0,0
7,8,2013,38,8,30,0.22,22,1014,2,4,2,2,3,1,6,2,0,0,0,2,1,0,1,0,0
8,9,2013,28,1,27,0.05,5,1014,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
9,10,2013,12,7,5,0.62,62,1014,3,3,1,3,3,1,7,3,0,0,0,3,0,1,0,0,0
10,11,2013,49,5,44,0.11,11,1014,2,2,1,2,1,1,4,2,0,0,0,0,1,1,0,0,0
11,12,2013,34,0,34,0.0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,2013,6,3,3,0.51,51,1014,1,2,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0
13,14,2013,32,0,32,0.01,1,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,2013,7,5,2,0.65,65,1014,1,3,1,1,3,1,5,1,0,0,0,3,0,1,0,0,0
15,16,2013,47,26,21,0.55,55,1014,15,9,2,14,8,1,23,13,1,0,0,7,1,0,1,0,0
16,17,2013,13,7,6,0.57,56,1014,3,3,1,3,2,1,6,3,0,0,0,1,1,1,0,0,0
17,18,2013,40,39,1,0.98,98,1014,24,14,1,16,8,1,25,9,6,1,0,2,6,1,0,0,0
18,19,2013,10,0,10,0.05,5,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,2013,9,4,5,0.46,46,1014,3,1,0,2,1,0,3,1,1,0,0,1,0,0,0,0,0
20,21,2013,52,7,45,0.14,14,1014,2,4,1,1,3,1,5,0,1,0,0,2,1,1,0,0,0
21,22,2013,5,3,2,0.69,69,1014,2,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
22,23,2013,34,13,21,0.37,37,1014,9,3,1,3,2,1,6,0,0,3,0,1,1,1,0,0,0
23,24,2013,37,16,21,0.43,43,1014,8,6,2,5,6,2,13,4,0,0,1,6,0,2,0,0,0
24,25,2013,36,32,4,0.89,89,1014,22,9,1,12,5,1,18,6,2,4,0,1,4,1,0,0,0
25,26,2013,33,25,8,0.75,75,1014,12,11,2,6,10,2,18,3,1,1,1,9,1,2,0,0,0
26,27,2013,27,5,22,0.17,17,1014,1,3,1,1,3,1,5,1,0,0,0,3,0,1,0,0,0
27,28,2013,27,15,12,0.57,56,1014,7,6,2,5,4,1,10,3,2,0,0,2,2,0,1,0,0
28,29,2013,8,0,8,0.05,5,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,30,2013,59,50,9,0.84,84,1014,19,29,2,17,15,1,33,15,2,0,0,1,14,0,1,0,0
30,31,2013,60,7,53,0.12,12,1014,3,4,0,3,4,0,7,3,0,0,0,4,0,0,0,0,0
31,32,2013,10,7,3,0.71,71,1014,2,4,1,1,3,1,5,0,1,0,0,2,1,1,0,0,0
32,33,2013,28,12,16,0.42,42,1014,8,4,0,6,3,0,9,4,2,0,0,2,1,0,0,0,0
33,34,2013,10,2,8,0.2,20,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
34,35,2013,52,43,9,0.82,82,1014,18,24,1,18,21,1,40,18,0,0,0,18,3,1,0,0,0
35,36,2013,58,43,15,0.74,74,1014,28,15,0,19,9,0,28,11,7,1,0,3,6,0,0,0,0
36,37,2013,53,41,12,0.77,77,1014,25,16,0,9,8,0,17,1,4,0,4,0,8,0,0,0,0
37,38,2013,19,10,9,0.53,53,1014,4,4,2,3,3,1,7,2,1,0,0,2,1,0,1,0,0
38,39,2013,16,1,15,0.08,8,1014,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
39,40,2013,8,8,0,0.95,95,1014,6,2,0,3,1,0,4,0,3,0,0,0,1,0,0,0,0
40,41,2013,24,11,13,0.44,44,1014,5,5,1,5,5,1,11,5,0,0,0,5,0,1,0,0,0
41,42,2013,8,0,8,0.02,2,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,43,2013,40,19,21,0.48,48,1014,9,6,4,9,5,3,17,9,0,0,0,4,1,2,1,0,0
43,44,2013,29,24,5,0.84,84,1014,15,5,4,13,5,4,22,12,0,1,0,5,0,4,0,0,0
44,45,2013,42,2,40,0.05,5,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
45,46,2013,53,52,1,0.99,99,1014,38,12,2,15,8,2,25,0,8,6,1,4,4,2,0,0,0
46,47,2013,37,35,2,0.95,95,1014,10,21,4,4,13,2,19,2,0,0,2,5,8,1,0,1,0
47,48,2013,24,18,6,0.76,76,1014,9,7,2,3,4,1,8,0,1,1,1,1,3,0,1,0,0
48,49,2013,60,26,34,0.44,44,1014,19,5,2,12,3,2,17,7,3,2,0,1,2,2,0,0,0
49,50,2013,17,8,9,0.5,50,1014,2,4,2,2,4,2,8,2,0,0,0,4,0,2,0,0,0
50,51,2013,18,6,12,0.34,34,1014,4,2,0,2,2,0,4,0,2,0,0,2,0,0,0,0,0
51,52,2013,34,7,27,0.22,22,1014,4,2,1,2,1,1,4,1,0,1,0,0,1,1,0,0,0
52,53,2013,25,2,23,0.06,6,1014,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
53,54,2013,26,9,17,0.33,33,1014,2,5,2,1,3,2,6,0,1,0,0,1,2,2,0,0,0
54,55,2013,31,30,1,0.98,98,1014,13,15,2,9,8,1,18,5,4,0,0,1,7,0,1,0,0
55,56,2013,25,21,4,0.85,85,1014,15,5,1,6,3,1,10,1,2,2,1,1,2,1,0,0,0
56,57,2013,11,10,1,0.94,94,1014,4,6,0,4,5,0,9,4,0,0,0,4,1,0,0,0,0
57,58,2013,33,15,18,0.46,46,1014,8,5,2,5,3,1,9,2,3,0,0,1,2,0,1,0,0
58,59,2013,7,5,2,0.66,66,1014,4,1,0,4,1,0,5,4,0,0,0,1,0,0,0,0,0
59,60,2013,5,1,4,0.22,22,1014,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
