,Year,Course_ID,Course_Duration,Course_Ressources,Course_Ress_Digit,Course_Ress_inClass,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
0,2013,1,14,4,2,2,2,0,0,2,0,0
984,2014,1,14,4,2,2,2,0,0,2,0,0
1968,2015,1,14,4,3,1,3,0,0,1,0,0
2952,2016,1,14,4,3,1,3,0,0,1,0,0
3936,2017,1,14,4,3,1,3,0,0,1,0,0
4920,2018,1,14,4,3,1,3,0,0,1,0,0
5904,2019,1,14,4,3,1,3,0,0,1,0,0
6888,2020,1,14,4,3,1,3,0,0,1,0,0
1,2013,2,22,12,2,10,1,1,0,7,3,0
985,2014,2,22,12,2,10,1,1,0,7,3,0
1969,2015,2,22,12,2,10,1,1,0,7,3,0
2953,2016,2,22,12,2,10,1,1,0,7,3,0
3937,2017,2,22,12,2,10,1,1,0,7,3,0
4921,2018,2,22,12,2,10,1,1,0,7,3,0
5905,2019,2,22,12,3,9,1,2,0,7,2,0
6889,2020,2,22,12,3,9,1,2,0,7,2,0
2,2013,3,17,17,5,12,1,3,1,7,4,1
986,2014,3,17,17,6,11,2,3,1,6,4,1
1970,2015,3,17,17,6,11,2,3,1,6,4,1
2954,2016,3,17,17,7,10,2,4,1,6,3,1
3938,2017,3,17,17,8,9,3,4,1,5,3,1
4922,2018,3,17,17,9,8,3,5,1,5,2,1
5906,2019,3,17,17,10,7,3,6,1,5,1,1
6890,2020,3,17,17,10,7,3,6,1,5,1,1
3,2013,4,15,6,2,4,2,0,0,2,1,1
987,2014,4,15,6,2,4,2,0,0,2,1,1
1971,2015,4,15,6,2,4,2,0,0,2,1,1
2955,2016,4,15,6,2,4,2,0,0,2,1,1
3939,2017,4,15,6,3,3,2,1,0,2,0,1
4923,2018,4,15,6,3,3,2,1,0,2,0,1
5907,2019,4,15,6,3,3,2,1,0,2,0,1
6891,2020,4,15,6,4,2,3,1,0,1,0,1
4,2013,5,37,25,3,22,2,1,0,15,7,0
988,2014,5,37,25,3,22,2,1,0,15,7,0
1972,2015,5,37,25,3,22,2,1,0,15,7,0
2956,2016,5,37,25,4,21,3,1,0,14,7,0
3940,2017,5,37,25,4,21,3,1,0,14,7,0
4924,2018,5,37,25,5,20,4,1,0,13,7,0
5908,2019,5,37,25,5,20,4,1,0,13,7,0
6892,2020,5,37,25,6,19,5,1,0,12,7,0
5,2013,6,19,5,2,3,2,0,0,2,1,0
989,2014,6,19,5,2,3,2,0,0,2,1,0
1973,2015,6,19,5,3,2,2,1,0,2,0,0
2957,2016,6,19,5,3,2,2,1,0,2,0,0
3941,2017,6,19,5,3,2,2,1,0,2,0,0
4925,2018,6,19,5,3,2,2,1,0,2,0,0
5909,2019,6,19,5,4,1,3,1,0,1,0,0
6893,2020,6,19,5,4,1,3,1,0,1,0,0
6,2013,7,20,10,5,5,1,3,1,3,1,1
990,2014,7,20,10,5,5,1,3,1,3,1,1
1974,2015,7,20,10,5,5,1,3,1,3,1,1
2958,2016,7,20,10,6,4,2,3,1,2,1,1
3942,2017,7,20,10,7,3,3,3,1,1,1,1
4926,2018,7,20,10,8,2,4,3,1,0,1,1
5910,2019,7,20,10,10,0,4,4,2,0,0,0
6894,2020,7,20,10,10,0,4,4,2,0,0,0
7,2013,8,11,7,3,4,3,0,0,1,2,1
991,2014,8,11,7,3,4,3,0,0,1,2,1
1975,2015,8,11,7,3,4,3,0,0,1,2,1
2959,2016,8,11,7,3,4,3,0,0,1,2,1
3943,2017,8,11,7,4,3,4,0,0,0,2,1
4927,2018,8,11,7,4,3,4,0,0,0,2,1
5911,2019,8,11,7,4,3,4,0,0,0,2,1
6895,2020,8,11,7,5,2,4,1,0,0,1,1
8,2013,9,6,3,1,2,1,0,0,2,0,0
992,2014,9,6,3,1,2,1,0,0,2,0,0
1976,2015,9,6,3,2,1,2,0,0,1,0,0
2960,2016,9,6,3,2,1,2,0,0,1,0,0
3944,2017,9,6,3,2,1,2,0,0,1,0,0
4928,2018,9,6,3,2,1,2,0,0,1,0,0
5912,2019,9,6,3,2,1,2,0,0,1,0,0
6896,2020,9,6,3,2,1,2,0,0,1,0,0
9,2013,10,16,5,2,3,1,1,0,2,1,0
993,2014,10,16,5,2,3,1,1,0,2,1,0
1977,2015,10,16,5,2,3,1,1,0,2,1,0
2961,2016,10,16,5,2,3,1,1,0,2,1,0
3945,2017,10,16,5,3,2,2,1,0,1,1,0
4929,2018,10,16,5,3,2,2,1,0,1,1,0
5913,2019,10,16,5,4,1,2,2,0,1,0,0
6897,2020,10,16,5,4,1,2,2,0,1,0,0
10,2013,11,30,11,1,10,1,0,0,7,2,1
994,2014,11,30,11,1,10,1,0,0,7,2,1
1978,2015,11,30,11,1,10,1,0,0,7,2,1
2962,2016,11,30,11,1,10,1,0,0,7,2,1
3946,2017,11,30,11,1,10,1,0,0,7,2,1
4930,2018,11,30,11,1,10,1,0,0,7,2,1
5914,2019,11,30,11,1,10,1,0,0,7,2,1
6898,2020,11,30,11,2,9,1,1,0,7,1,1
11,2013,12,18,5,1,4,0,1,0,2,2,0
995,2014,12,18,5,1,4,0,1,0,2,2,0
1979,2015,12,18,5,1,4,0,1,0,2,2,0
2963,2016,12,18,5,1,4,0,1,0,2,2,0
3947,2017,12,18,5,1,4,0,1,0,2,2,0
4931,2018,12,18,5,1,4,0,1,0,2,2,0
5915,2019,12,18,5,1,4,0,1,0,2,2,0
6899,2020,12,18,5,1,4,0,1,0,2,2,0
12,2013,13,24,15,4,11,3,1,0,7,4,0
996,2014,13,24,15,4,11,3,1,0,7,4,0
