,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
0,2013,1,35,20,2,18,1,1,0,12,6,0
999,2014,1,35,20,3,17,2,1,0,11,6,0
1998,2015,1,35,20,3,17,2,1,0,11,6,0
2997,2016,1,35,20,4,16,2,2,0,11,5,0
3996,2017,1,35,20,4,16,2,2,0,11,5,0
4995,2018,1,35,20,4,16,2,2,0,11,5,0
5994,2019,1,35,20,6,14,4,2,0,9,5,0
6993,2020,1,35,20,7,13,4,3,0,9,4,0
1,2013,2,8,7,1,6,1,0,0,3,2,1
1000,2014,2,8,7,1,6,1,0,0,3,2,1
1999,2015,2,8,7,1,6,1,0,0,3,2,1
2998,2016,2,8,7,1,6,1,0,0,3,2,1
3997,2017,2,8,7,1,6,1,0,0,3,2,1
4996,2018,2,8,7,1,6,1,0,0,3,2,1
5995,2019,2,8,7,1,6,1,0,0,3,2,1
6994,2020,2,8,7,1,6,1,0,0,3,2,1
2,2013,3,28,19,3,16,1,1,1,10,5,1
1001,2014,3,28,19,3,16,1,1,1,10,5,1
2000,2015,3,28,19,3,16,1,1,1,10,5,1
2999,2016,3,28,19,4,15,1,2,1,10,4,1
3998,2017,3,28,19,4,15,1,2,1,10,4,1
4997,2018,3,28,19,5,14,2,2,1,9,4,1
5996,2019,3,28,19,6,13,2,3,1,9,3,1
6995,2020,3,28,19,8,11,3,4,1,8,2,1
3,2013,4,20,5,1,4,0,1,0,2,2,0
1002,2014,4,20,5,1,4,0,1,0,2,2,0
2001,2015,4,20,5,1,4,0,1,0,2,2,0
3000,2016,4,20,5,1,4,0,1,0,2,2,0
3999,2017,4,20,5,1,4,0,1,0,2,2,0
4998,2018,4,20,5,1,4,0,1,0,2,2,0
5997,2019,4,20,5,1,4,0,1,0,2,2,0
6996,2020,4,20,5,1,4,0,1,0,2,2,0
4,2013,5,32,23,4,19,2,2,0,13,5,1
1003,2014,5,32,23,4,19,2,2,0,13,5,1
2002,2015,5,32,23,5,18,3,2,0,12,5,1
3001,2016,5,32,23,6,17,4,2,0,11,5,1
4000,2017,5,32,23,7,16,5,2,0,10,5,1
4999,2018,5,32,23,7,16,5,2,0,10,5,1
5998,2019,5,32,23,8,15,5,3,0,10,4,1
6997,2020,5,32,23,9,14,6,3,0,9,4,1
5,2013,6,51,18,3,15,1,2,0,10,4,1
1004,2014,6,51,18,3,15,1,2,0,10,4,1
2003,2015,6,51,18,4,14,2,2,0,9,4,1
3002,2016,6,51,18,4,14,2,2,0,9,4,1
4001,2017,6,51,18,5,13,2,3,0,9,3,1
5000,2018,6,51,18,6,12,2,3,1,9,3,0
5999,2019,6,51,18,6,12,2,3,1,9,3,0
6998,2020,6,51,18,7,11,2,4,1,9,2,0
6,2013,7,6,5,1,4,1,0,0,2,1,1
1005,2014,7,6,5,1,4,1,0,0,2,1,1
2004,2015,7,6,5,1,4,1,0,0,2,1,1
3003,2016,7,6,5,1,4,1,0,0,2,1,1
4002,2017,7,6,5,1,4,1,0,0,2,1,1
5001,2018,7,6,5,1,4,1,0,0,2,1,1
6000,2019,7,6,5,1,4,1,0,0,2,1,1
6999,2020,7,6,5,1,4,1,0,0,2,1,1
7,2013,8,38,30,2,28,1,1,0,18,8,2
1006,2014,8,38,30,2,28,1,1,0,18,8,2
2005,2015,8,38,30,3,27,1,2,0,18,7,2
3004,2016,8,38,30,3,27,1,2,0,18,7,2
4003,2017,8,38,30,3,27,1,2,0,18,7,2
5002,2018,8,38,30,3,27,1,2,0,18,7,2
6001,2019,8,38,30,3,27,1,2,0,18,7,2
7000,2020,8,38,30,4,26,1,3,0,18,6,2
8,2013,9,11,6,1,5,1,0,0,2,2,1
1007,2014,9,11,6,1,5,1,0,0,2,2,1
2006,2015,9,11,6,1,5,1,0,0,2,2,1
3005,2016,9,11,6,1,5,1,0,0,2,2,1
4004,2017,9,11,6,1,5,1,0,0,2,2,1
5003,2018,9,11,6,1,5,1,0,0,2,2,1
6002,2019,9,11,6,1,5,1,0,0,2,2,1
7001,2020,9,11,6,1,5,1,0,0,2,2,1
9,2013,10,18,11,2,9,1,1,0,5,3,1
1008,2014,10,18,11,2,9,1,1,0,5,3,1
2007,2015,10,18,11,2,9,1,1,0,5,3,1
3006,2016,10,18,11,2,9,1,1,0,5,3,1
4005,2017,10,18,11,2,9,1,1,0,5,3,1
5004,2018,10,18,11,3,8,2,1,0,4,3,1
6003,2019,10,18,11,3,8,2,1,0,4,3,1
7002,2020,10,18,11,4,7,2,2,0,4,2,1
10,2013,11,27,19,4,15,2,1,1,10,5,0
1009,2014,11,27,19,4,15,2,1,1,10,5,0
2008,2015,11,27,19,5,14,3,1,1,9,5,0
3007,2016,11,27,19,6,13,3,2,1,9,4,0
4006,2017,11,27,19,6,13,3,2,1,9,4,0
5005,2018,11,27,19,7,12,4,2,1,8,4,0
6004,2019,11,27,19,7,12,4,2,1,8,4,0
7003,2020,11,27,19,10,9,7,2,1,5,4,0
11,2013,12,6,4,1,3,0,1,0,2,1,0
1010,2014,12,6,4,1,3,0,1,0,2,1,0
2009,2015,12,6,4,2,2,1,1,0,1,1,0
3008,2016,12,6,4,2,2,1,1,0,1,1,0
4007,2017,12,6,4,2,2,1,1,0,1,1,0
5006,2018,12,6,4,2,2,1,1,0,1,1,0
6005,2019,12,6,4,3,1,1,2,0,1,0,0
7004,2020,12,6,4,4,0,2,2,0,0,0,0
12,2013,13,15,7,2,5,1,1,0,2,2,1
1011,2014,13,15,7,2,5,1,1,0,2,2,1
2010,2015,13,15,7,2,5,1,1,0,2,2,1
3009,2016,13,15,7,3,4,2,1,0,1,2,1
4008,2017,13,15,7,3,4,2,1,0,1,2,1
5007,2018,13,15,7,3,4,2,1,0,1,2,1
6006,2019,13,15,7,3,4,2,1,0,1,2,1
7005,2020,13,15,7,4,3,3,1,0,0,2,1
13,2013,14,40,36,2,34,2,0,0,22,10,2
1012,2014,14,40,36,2,34,2,0,0,22,10,2
2011,2015,14,40,36,2,34,2,0,0,22,10,2
3010,2016,14,40,36,2,34,2,0,0,22,10,2
4009,2017,14,40,36,3,33,3,0,0,21,10,2
5008,2018,14,40,36,3,33,3,0,0,21,10,2
6007,2019,14,40,36,4,32,4,0,0,20,10,2
