,Year,Departement,Module_ID,Module,Chapter_ID,Chapter,Quiz_perChapter,Quizz_ID,Rank_onChapter,Quizz_Type,Slip,Guess,Success_Prct,Success_Attempts,Failure_Attempts,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Predict_Difficulty,Correct_Difficulty,Score,Difficulty_String,Difficulty,Department
0,2015,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCU,0.02,0.91,86.09,82,13,95,85,82,3,1.12,96.47,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
1111,2016,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCU,0.47,0.25,34.26,33,63,96,57,33,24,1.68,57.89,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
2222,2017,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCU,0.09,0.97,84.1,79,15,94,89,79,10,1.06,88.76,Facile,Facile,0,Meme Difficulté,Pas Adapte,Law
3333,2018,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCM,0.79,0.25,5.31,5,93,98,73,5,68,1.34,6.85,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
4444,2019,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCM,0.18,0.9,69.88,76,33,109,92,76,16,1.18,82.61,Facile,Facile,0,Meme Difficulté,Adapte,Law
5555,2020,Droit,1,Histoire du Droit,1,La Grèce,3,1,1,QCM,0.06,0.86,69.88,66,28,94,72,66,6,1.31,91.67,Facile,Facile,0,Meme Difficulté,Adapte,Law
1,2015,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QROC,0.96,0.2,15.86,5,25,30,29,5,24,1.03,17.24,Difficile,Difficile,0,Meme Difficulté,Pas Adapte,Law
1112,2016,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QO,0.62,0.23,43.15,12,16,28,17,12,5,1.65,70.59,Facile,Moyen,-1,Plus Difficile,Pas Adapte,Law
2223,2017,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QROC,0.76,0.05,34.0,9,17,26,17,9,8,1.53,52.94,Moyen,Difficile,-1,Plus Difficile,Pas Adapte,Law
3334,2018,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QROC,0.05,0.88,82.85,19,4,23,20,19,1,1.15,95.0,Difficile,Facile,2,Beaucoup plus Facile,Pas Adapte,Law
4445,2019,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QROC,0.57,0.3,64.02,13,8,21,21,13,8,1.0,61.9,Facile,Moyen,-1,Plus Difficile,Adapte,Law
5556,2020,Droit,1,Histoire du Droit,1,La Grèce,3,2,2,QROC,0.29,0.32,64.02,14,8,22,21,14,7,1.05,66.67,Moyen,Moyen,0,Meme Difficulté,Adapte,Law
2,2015,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.0,0.88,95.91,89,4,93,89,89,0,1.04,100.0,Moyen,Facile,1,Plus Facile,Pas Adapte,Law
1113,2016,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.63,0.37,13.06,14,90,104,71,14,57,1.46,19.72,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
2224,2017,Droit,1,Histoire du Droit,1,La Grèce,3,3,3,QCU,0.65,0.35,6.08,6,87,93,35,6,29,2.66,17.14,Facile,Difficile,-2,Beaucoup plus Difficile,Pas Adapte,Law
